a,Guillermo Centurión,GOL,20,62,,Máximo Alonso,MEI,19,65,,Guillermo Paiva,ATA,24,67,,Damián Bobadilla,VOL,20,65,,Blas Cáceres,LE,32,72,,Joan Cruz,MEI,18,62,,Franco Lobos,ATA,22,68,,Vicente Bernedo,GOL,20,62,,Stalin Valencia,ZAG,18,5974,,Victor Mendoza,GOL,27,62,,,,,0,,Santiago Rodríguez,ATA,20,5367,,,,,,,Benjamín Villalta,ZAG,21,65,,Lucas Chávez,MDPD,18,5974,,,,,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fifaindex.com/pt-br/team/110986/ldu-quito/,,,,,,,,,,,,,,,https://www.fifaindex.com/pt-br/team/110989/caracas-f%C3%BAtbol-club/,,,,,https://www.fifaindex.com/pt-br/team/111010/club-alianza-lima/,,,,,,,,,,https://www.fifaindex.com/pt-br/team/110968/club-bol%C3%ADvar/,,,,,,,,,
8,Nacional,,,,,Peñarol,,,,,Olimpia,,,,,Cerro Porteño,,,,,Libertad,,,,,Colo-Colo,,,,,LaU,,,,,Univ. Católica,,,,,LDU,,,,,Barcelona-EQU,,,,,Emelec,,,,,Caracas,,,,,Alianza Lima,,,,,Sporting Cristal,,,,,Bolívar,,,,,Cienciano,,,,
1,Sergio Rochet,GOL,28,75,,Kevin Dawson,GOL,29,75,,Alfredo Aguilar,GOL,33,75,,Jean Filho,GOL,26,74,,Martín Silva,GOL,38,75,,Brayan Cortés,GOL,26,74,,Fernando de Paul,GOL,30,74,,Sebastián Pérez,GOL,31,72,,Nome,Posições Preferidas,Idade,GER POT,,Javier Burrai,GOL,31,74,,Pedro Ortíz,GOL,31,74,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Alejandro Duarte,GOL,27,72,,Nome,Posições Preferidas,Idade,GER POT,,Juniors Barbieri,GOL,25,62,
2,Martín Rodríguez,GOL,32,70,,Neto Volpi,GOL,29,68,,Gastón Olveira,GOL,28,72,,Rodrigo Muñoz,GOL,39,72,,Carlos Servín,GOL,34,74,,Omar Carabalí,GOL,24,65,,Cristóbal Campos,GOL,22,65,,Vicente Bernedo,GOL,20,62,,Adrián Gabbarini,GOL,36,7171,,Victor Mendoza,GOL,27,62,,Adrián Bone,GOL,33,70,,Beycker Velásquez,GOL,25,6671,,Steven Rivadeneyra,GOL,26,6366,,Renato Solís,GOL,23,70,,Rubén Cordano,GOL,23,6876,,Koichi Aparicio,ZAG,28,70,
3,Guillermo Centurión,GOL,20,62,,Thiago Cardozo,GOL,25,67,,Marino Arzamendia,GOL,23,68,,Miguel Martínez,GOL,23,70,,Alexander Barboza,ZAG,26,76,,Julio Fierro,GOL,19,57,,Pedro Garrido,GOL,18,57,,Martín Ballesteros,GOL,19,57,,Pedro Perlaza,LDMD,30,6969,,Álvaro Preciado,GOL,24,57,,Marlon Mejía,ZAG,27,72,,Eduardo Fereira,LD,20,6676,,Kluiverth Aguilar,LD,17,5974,,Emile Franco,GOL,21,65,,Roberto Carlos Fernández,LEME,22,6475,,Aldair Perleche,ZAG,26,68,
4,Ignacio Suárez,GOL,19,57,,Martín Correa,GOL,21,62,,Pedro González,GOL,22,59,,José Miers,GOL,21,62,,Diego Viera,ZAG,30,75,,Emiliano Amor,ZAG,26,74,,Bastián Tapia,ZAG,19,57,,Germán Lanaro,ZAG,35,74,,Andersson Ordóñez,ZAG,27,6466,,Darío Aimar,ZAG,27,72,,Aníbal Leguizamón,ZAG,30,69,,Carlos Rivero,ZAGLD,28,6668,,Carlos Montoya,ZAG,18,5570,,Matías Cordova,GOL,19,57,,Guitián,ZAG,31,7171,,Hansell Riojas,ZAG,30,70,
5,Mathías Bernatene,GOL,21,57,,Randall Rodríguez,GOL,18,57,,Saúl Salcedo,ZAG,24,75,,Williams Riveros,ZAG,29,74,,Cristian Báez,ZAG,31,72,,Daniel Gutiérrez,ZAG,18,65,,Osvaldo González,ZAG,37,74,,Tomás Astaburuaga,ZAG,25,72,,Luis Caicedo,ZAG,29,6667,,Bryan Caicedo,ZAG,21,65,,Óscar Bagüí,VOL,39,70,,Diego Osio,ZAG,24,6572,,Junior Dorlans,ZAGLDLE,21,6767,,Omar Merlo,ZAG,35,74,,Jairo Quinteros,ZAG,20,6876,,Lampros Kontogiannis,ZAG,33,72,
6,Diego Polenta,ZAG,29,75,,Jonathan Lima,GOL,22,57,,Antolín Alcaraz,ZAG,39,75,,Alexis Duarte,ZAG,21,72,,Luis Cardozo,ZAG,33,72,,Pedro Navarro,ZAG,20,59,,Ramón Arias,ZAG,29,74,,Carlos Salomón,ZAG,21,65,,Christian Cruz,LEME,29,6868,,Joshué Quiñonez,ZAG,20,62,,Ángel Gracia,LE,32,72,,Sandro Notaroberto,LE,23,6169,,Juan Antonio Jernal,LEMC,29,6868,,Cristian Carbajal,ZAG,22,65,,Luis Gutiérrez,ZAGLE,36,6565,,Luis Álvarez,VOL,31,67,
7,Nicolás Marichal,ZAG,20,72,,Agustín da Silveira,ZAG,21,65,,Agustín Ale,ZAG,26,74,,Pablo Adorno,ZAG,25,70,,Daniel Bocanegra,ZAG,34,75,,Maximiliano Falcón,ZAG,24,74,,José María Carrasco,LE,24,70,,Patricio Flores,ZAG,19,57,,Sebastián González,MCMEIME,18,6174,,Fernando León,ZAG,28,75,,Luca Sosa,LE,27,70,,Diego Castillo,VOL,23,5868,,Miguel Ángel Cornejo,MEIVOLMC,21,5868,,Gianfranco Chávez,ZAG,23,72,,Diego Bejarano,LDADDMD,30,7171,,Abdiel Ayarza,VOL,29,65,
8,Mario Risso,ZAG,33,70,,Valentín Rodríguez,LE,20,68,,Luis Cáceres,ZAG,25,70,,Rodrigo Delvalle,ZAG,20,65,,Iván Piris,VOL,32,75,,Jeyson Rojas,ZAG,19,70,,Diego Carrasco,LE,26,70,,Cristóbal Finch,ZAG,19,57,,Jhojan Julio,MEMEIPE,23,6874,,Leonel Quiñónez,LE,28,74,,Leandro Vega,LE,25,74,,Leonardo Flores,MEMCVOL,25,6770,,Josepmir Ballón,MCVOL,33,6767,,Alejandro González,ZAG,33,70,,John García,MEIMDME,21,6272,,Luiggi Villafuerte,MEI,21,52,
9,Joaquín Sosa,ZAG,20,68,,Gary Kagelmacher,ZAG,33,74,,Mateo Gamarra,LE,21,65,,Carlos Rolón,ZAG,29,72,,Leonel Vangioni,LE,34,74,,Bruno Gutiérrez,ZAG,19,62,,Luis Casanova,ZAG,29,72,,Valber Huerta,ZAG,28,75,,Nilson Angulo,MEIATAPD,18,5974,,Bruno Piñatares,VOL,31,74,,Jefferson Orejuela,VOL,28,75,,Osei Bonsu,PDMD,20,5771,,Oslimg Mora,PDMD,21,6376,,Benjamín Villalta,ZAG,21,65,,Gabriel Villamíl,MCMEI,20,6070,,Kevin Sandoval,MEI,24,65,
10,Mathías Laborda,ZAG,22,72,,Giovanni González,VOL,27,74,,Víctor Salazar,LD,28,74,,Juan Patiño,ZAG,32,75,,Rodrigo Rivero,VOL,26,70,,Matías Zaldivia,ZAG,31,72,,Augusto Barrios,ZAG,31,70,,Juan Cornejo,ZAG,31,75,,Djorkaeff Reasco,ATA,22,6472,,Matías Oyola,VOL,39,72,,Dixon Arroyo,VOL,29,72,,Richard Celis,ATAPEME,24,6774,,Giakumis Gutierrez,MDME,29,6666,,Johan Madrid,ZAG,25,72,,Leonel Justiniano,VOLMCMD,29,6666,,Danilo Carando,ATA,33,69,
11,Ángelo Gabrielli,LD,29,72,,Agustin Álvarez,VOL,20,67,,Richard Ortiz,VOL,31,75,,Leonardo Rivas,LE,20,65,,Ramón Martínez,VOL,25,74,,Óscar Opazo,VOL,31,74,,Marcelo Morales,LE,18,67,,Alfonso Parot,LE,32,75,,Adolfo Muñoz,MEMDPD,24,6773,,Nixon Molina,VOL,28,72,,Nelson Solíz,VOL,28,70,,Anderson Contreras,MEIMC,20,6575,,Simon Altamiras,MEMEIMC,29,6565,,Jhilmar Lora,LD,21,72,,Erwin Saavedra,LDMCMEI,25,6973,,Adrián Ugarriza,MEI,25,66,
12,Christian Almeida,LE,32,72,,Wálter Gargano,VOL,37,74,,Edgardo Orzusa,VOL,31,74,,Luis Vargas,LE,21,69,,Hugo Martínez,VOL,21,72,,Jorge Araya,VOL,25,68,,Luis del Pino Mago,LE,27,72,,Branco Ampuero,ZAG,28,74,,Luis Amarilla,ATA,26,7072,,Michael Carcelén,VOL,24,67,,Jefferson Caicedo,VOL,27,69,,Jairo Otero,ATA,27,5758,,Henry Briceldo,ATASA,29,6767,,Carlos Cabello,VOL,24,70,,Leonardo Ramos,ATA,32,7171,,Edison Kuncho,MEI,25,65,
13,Felipe Carballo,VOL,25,74,,Damián Musto,VOL,34,74,,Jordán Santacruz,VOL,26,72,,Ángel Cardozo Lucena,VOL,27,75,,Marcelo Díaz,VOL,35,72,,Vicente Pizarro,VOL,19,67,,Gonzalo Espinoza,VOL,31,74,,Benjamín Gómez,LE,21,57,,Lucas Villarruel,VOLMC,31,7373,,Gabriel Marques,VOL,33,70,,Wilmer Godoy,VOL,28,67,,Enmanuel Moreno,ATA,20,5669,,Gonzalo Sánchez,ATA,20,5668,,Martin Tavara,VOL,22,72,,Granell,VOLMCZAG,33,7272,,Oshiro Takeuchi,ATA,27,65,
14,Diego Rodríguez,VOL,32,75,,Matías de Los Santos,VOL,23,70,,Rolando Ortiz,VOL,19,72,,Damián Bobadilla,VOL,20,65,,Blas Cáceres,LE,32,72,,Bryan Soto,VOL,20,62,,Camilo Moya,VOL,23,72,,Ian Toro,VOL,19,57,,Billy Arce,MEIME,23,6875,,Pedro Velasco,LD,28,74,,Bryan Carabalí,LD,24,72,,Luis Ramírez,MC,23,6471,,Oscar Oyanadir,VOL,21,6767,,Jesús Castillo,VOL,20,70,,Kåhed,MDPDME,32,7070,,,,,0,
15,Facundo Píriz,VOL,31,72,,Kevin Lewis,VOL,23,65,,Sérgio Otálvaro,LD,35,75,,Rafael Carrascal,VOL,29,74,,Ivan Ramírez,VOL,27,74,,César Fuentes,LD,28,74,,Sebastián Galani,VOL,24,70,,Benjamín Iglesias,VOL,19,57,,José Quintero,LDMD,31,6565,,Mario Pineida,VOL,29,74,,Sebastián Rodríguez,MEI,29,72,,Rosmel Villanueva,ZAG,28,6566,,Julio Baiva,LD,29,6868,,Jesús Pretell,VOL,22,68,,Hernán Rodríguez,MCMEVOL,25,6772,,,,,0,
16,Joaquín Trasante,VOL,22,70,,Maxi Pereira,LD,37,75,,Hugo Quintana,VOL,20,69,,Wílder Viera,VOL,19,65,,Camilo Mayada,VOL,31,76,,Gabriel Suazo,LE,24,74,,Mauricio Morales,VOL,22,65,,Ignacio Saavedra,VOL,23,74,,José Cárdenas,GOL,26,6366,,Carlos Montaño,VOL,22,65,,Romario Caicedo,MEI,31,74,,Luis Casiani,LD,19,5975,,Allan Fuentoza,LE,25,6464,,Nilson Loyola,LE,27,74,,Juan José Orellana,LE,23,6774,,,,,0,
17,Santiago Cartagena,VOL,19,65,,Juan Acosta,LD,28,70,,Iván Torres,MEI,30,74,,Alan Rodríguez,LE,21,74,,Ayrton Cougo,MEI,25,72,,Miiko Albornoz,VOL,31,74,,Yonathan Andía,VOL,29,74,,Kevin Fernández,VOL,20,57,,Juan Kaprof,ATASAMEI,26,6870,,Sergio López,MEI,33,74,,Alexis Zapata,MEI,26,74,,Cristian Flores,GOL,30,6565,,Ruben Ahumera,GOL,33,5858,,Percy Prado,VOL,25,67,,Javier Rojas,GOL,25,6773,,,,,0,
18,Patricio Gregorio,VOL,22,62,,Ezequiel Busquets,LD,21,70,,Marcelo Estigarribia,MEI,34,74,,Beto Espínola,LD,30,74,,Bautista Merlini,MEI,26,75,,Carlos Villanueva,MEI,22,65,,Anderson Contreras,MEI,20,69,,Juan Fuentes,VOL,26,74,,Frank Ventura,LD,21,6170,,Damián Diaz,MEI,35,77,,José Cevallos,MEI,26,75,,Santiago Rodríguez,ATA,20,5367,,Adolfo Salvamanos,VOLLE,29,6767,,Horacio Calcaterra,MEI,32,74,,Víctor Enol,ATA,24,6571,,,,,0,
19,Rafael García,VOL,33,72,,Juan Ramos,MEI,25,70,,Alejandro Silva,MEI,32,77,,Alan Benítez,LD,27,70,,Pedro Delvalle,MEI,28,70,,Leonardo Gil,MEI,30,75,,Thomas Rodríguez,MEI,25,72,,Raimundo Rebolledo,LD,24,75,,Jordy Alcívar,VOLMC,22,6875,,Byron Castillo,MEI,23,74,,Facundo Barceló,ATA,28,74,,Junior Moreno,ZAGVOL,21,5872,,Rodrigo Bistama,ZAGLE,25,6565,,Aryan Romaní,MEI,20,65,,Leonardo Vaca,MDPDATA,26,6566,,,,,0,
