a,Bruno Costa,MC,24,7681,,Helton Leite,GOL,31,7777,,Ricardo Esgaio,ADDLDMD,28,7878,,Ryan Gravenberch,MC,19,7890,,Alireza Jahanbakhsh,PD,28,7373,,André Ramalho,ZAG,29,7576,,Carl Starfelt,ZAG,26,7276,,Michael Lang,LD,30,7171,,Kevin Wimmer,ZAGLE,29,6969,,Julian Faye Lund,GOL,22,6675,,Lukas Lerager,MC,28,7070,,Kamil Piątkowski,ZAGMD,21,7179,,Jonas Knudsen,LEZAG,29,6969,,Kemar Roofe,SA,28,7474,,André Horta,MC,25,7378,,Abdul Mumin,ZAG,23,7078
a,Pepê,MEMD,24,7681,,Adel Taarabt,MCMEI,32,7777,,Jovane Cabral,PEPD,23,7785,,Jurriën Timber,ZAGLD,20,7888,,Marcus Holmgren Pedersen,LD,21,7284,,Marco Mohamed Belhadj,MCVOL,29,7575,,Cameron Carter-VickersL,ZAG,23,7180,,Dan NdoyeL,MDATA,21,6978,,Emanuel Aiwu,ZAGVOL,20,6777,,Adam Andersson,LELD,25,6671,,Peter Ankersen,LD,31,7070,,Antoine Bernede,VOLMC,22,7178,,Jo Inge Berget,PD,31,6868,,Ryan Jack,MCVOL,29,7474,,Mario González,ATAMD,25,7378,,Dawda Estupiñán,ATA,24,7077
a,Güclü Sanusi,LE,24,7580,,Darwin Núñez,ATAPE,22,7685,,Matheus Reis,LEZAGADE,26,7679,,Mohammed Kudus,MEIMC,21,7785,,Reiss NelsonL,PD,22,7281,,Davy Pröpper,MCVOL,30,7575,,Nir Bitton,VOLZAG,30,7171,,Sebastiano EspositoL,ATAMEI,19,6885,,Leo Greiml,ZAG,20,6679,,Jonathan Augustinsson,LEZAG,25,6671,,Ruben GabrielsenL,ZAG,29,6970,,Jérôme Onguéné,ZAG,23,7178,,Lasse Nielsen,ZAG,33,6868,,Fashion Sakala,ATAPE,24,7378,,Iuri Medeiros,PDMDSA,27,7373,,Jorge Fernandes,ZAG,24,7074
a,Marko Grujić,MCVOL,25,7579,,Gedson Fernandes,MC,22,7682,,Rúben VinagreL,ADELE,22,7585,,Maarten Stekelenburg,GOL,39,7676,,Mark Diemers,MCMEIPE,28,7272,,Jordan Teze,ZAGLD,22,7481,,James McCarthy,VOLMC,31,7171,,Joelson Augusto Mendes MangoL,MDME,18,6884,,Robert Ljubicic,MCADEVOL,22,6675,,Anders Konradsen,MCVOL,31,6666,,Marios Oikonomou,ZAG,29,6869,,Nicolás Capaldo,MCLD,23,7177,,Felix Beijmo,LD,23,6774,,John Lundstram,MC,27,7273,,Castro,MCVOL,33,7373,,Alfa Semedo,VOLMCMEI,24,6975
a,Fábio Cardoso,ZAG,27,7578,,Diogo Gonçalves,MDADD,24,7682,,Daniel Bragança,MC,22,7584,,Remko Pasveer,GOL,38,7575,,João Teixeira,MEIMCPE,28,7272,,Mauro Júnior,MEIME,22,7479,,Anthony Ralston,LD,23,7076,,Afimico Pululu,MEATA,22,6879,,Koya Kitagawa,ATASAMEI,25,6670,,Erlend Dahl Reitan,LDZAG,24,6572,,Li Qingtong Jóhannesson,MEIMCPD,18,6782,,Nicolas Seiwald,MCVOL,20,7080,,Erdal Rakip,MCVOL,25,6771,,Scott Arfield,MC,33,7171,,Tiago Sá,GOL,26,7277,,Bruno Duarte,ATA,25,6974
a,Wilson Manafá,LDLE,27,7575,,Soualiho Meïté,MCVOL,27,7677,,Bruno Tabata,PDPE,24,7581,,Lourenco Labyad,MEI,28,7575,,Ofir Marciano,GOL,32,7070,,Soulé Gutiérrez,MCVOL,26,7477,,Ismaila Soro,VOL,23,7076,,Matías Palacios,MEI,19,6782,,Paul Gartler,GOL,24,6569,,Edvard Sandvik Tagseth,MC,20,6477,,Pierre Bengtsson,LE,33,6666,,Luka Sučić,MEIMCMD,19,6983,,Bonke Innocent,VOLMC,25,6770,,Juninho Bacuna,MCVOL,24,7077,,Rolando,ZAG,36,7171,,André Amaro,ZAG,19,6781
a,Wendell,LE,28,7575,,André Almeida,LD,31,7676,,Tiago Tomás,ATA,19,7482,,Perr Schuurs,ZAG,22,7483,,Ramon Hendriks,ZAGLE,20,6680,,Ryan Thomas,MCMEIVOL,27,7476,,Michael Johnston,PEPD,22,6980,,Sergio López,LD,22,6777,,Jonas Auer,LEADEME,21,6475,,Besim Šerbečić,ZAG,23,6473,,Victor Kristiansen,LE,19,6580,,Nico Mantl,GOL,21,6978,,Franz Brorsson,ZAG,25,6770,,Jon McLaughlin,GOL,34,6969,,Lucas Mineiro,MCVOL,25,7075,,João FerreiraL,LD,20,6778
a,João Mário,LDMD,21,7484,,Nemanja RadonjićL,MEMD,25,7578,,Manuel Ugarte,MCVOL,20,7384,,Sean Klaiber,LD,27,7474,,Naoufal Bannis,ATA,19,6577,,Phillipp Mwene,LDLE,27,7373,,Stephen Welsh,ZAG,21,6978,,Liam Millar,MEPE,22,6677,,Lion Schuster,VOL,21,6474,,Pavle Vagić,VOLMCZAG,21,6375,,Bryan Oviedo,LE,31,6565,,Philipp Köhn,GOL,23,6975,,Adi Nalić,MEIPDATA,24,6673,,Jack Simpson,ZAGLE,24,6876,,van Rhijn,MDLDADD,19,6782,,Sílvio,LELD,34,6767
a,Evanilson,ATA,22,7484,,Gil Dias,MEADE,25,7578,,Renan Ribeiro,GOL,31,7171,,Devyne Rensch,LD,18,7385,,Francesco Antonucci,MEIMC,22,6576,,Lokilo Vertessen,MDATA,20,7283,,Albian Ajeti,ATA,24,6974,,Wouter Burger,MCVOL,20,6677,,Christopher Dibon,ZAG,31,6464,,Olaus Jair Skarsem,MCMEIPD,23,6372,,William Bøving,PEPD,18,6277,,Benjamin Šeško,ATA,18,6883,,Ismael Diawara,GOL,27,6568,,Scott Wright,SA,24,6772,,Francisco Moura,LEMEMC,22,6778,,Mikel Agu,VOL,28,6767
a,Cláudio Ramos,GOL,30,7475,,Gilberto,LDADD,28,7575,,Gonçalo Esteves,ADDLD,17,6784,,Danilo,ATA,22,7078,,Lennard Hartjes,VOLMC,18,6480,,Armando Obispo,ZAG,22,7280,,Vasilios Barkas,GOL,27,6972,,Đorđe Nikolić,GOL,24,6572,,Dalibor Velimirovic,VOLMCZAG,20,6270,,Rasmus Wiedesheim-Paul,ATAPE,22,6372,,Andri Fannar BaldurssonL,MC,19,6075,,Alexander Walke,GOL,38,6868,,Romain Gall,PE,26,6464,,Jermain Defoe,ATA,39,6767,,Fabiano Souza,LDMD,21,6679,,Tomás Händel,VOLMC,21,6681
a,Fábio Vieira,MEIMD,21,7286,,Ferro,ZAG,24,7480,,João VirgíniaL,GOL,22,6779,,Mohamed Daramy,PEATAPD,19,6982,,Aliou Baldé,PDPE,19,6381,,Maximiliano Romero,ATA,22,7080,,Boli Bolingoli,LE,26,6870,,Gonçalo CardosoL,ZAG,21,6473,,Thierno Ballo,MDMEI,19,6179,,Sander Tangvik,GOL,19,5573,,Rasmus Højlund,ATA,18,5973,,Junior Adamu,ATA,20,6778,,Malik Abubakari,ATA,21,6372,,Nathan Patterson,LD,20,6680,,Vitinha,ATA,21,6476,,Nicolas Janvier,MC,23,6675
a,Nanu,LDMD,27,7273,,Morato,ZAG,20,7386,,Nazinho,ADELE,18,6680,,Jay Gorter,GOL,21,6982,,Denzel Hall,LDZAG,20,6177,,Richard Ledezma,MEI,21,6781,,Scott Bain,GOL,30,6868,,Darian MalesL,MDATAMEI,20,6380,,Oliver Strunz,ATASA,21,6171,,,,,,,Hákon Arnar Haraldsson,PEMEI,18,5574,,Bryan Okoh,ZAG,18,6582,,Sebastian Nanasi,MEIPE,19,6076,,Brandon Barker,SA,25,6669,,Rodrigo Gomes,PDPEATA,18,6383,,Joseph Amoah,MC,27,6666
a,Francisco Conceição,MD,19,7086,,Rodrigo Pinho,ATA,30,7373,,André Paulo,GOL,25,6572,,Kenneth Taylor,MC,19,6882,,Thijs Jansen,GOL,20,6074,,Vincent Müller,GOL,21,6778,,Karamoko Dembélé,PD,18,6480,,Andrea Padula,LELD,25,5759,,Lukas Sulzbacher,LDADD,21,6170,,,,,,,Valdemar Lund,ZAG,18,5470,,Daouda Guindo,LE,19,6580,,Peter Gwargis,PDPE,21,5972,,Calvin Bassey,LE,21,6579,,Lukas Hornicek,GOL,19,6373,,Denis Will Poha,MC,24,6569
,https://www.fifaindex.com/pt-br/team/236/fc-porto/,,,,,https://www.fifaindex.com/pt-br/team/234/sl-benfica/,,,,,https://www.fifaindex.com/pt-br/team/237/sporting-cp/,,,,,https://www.fifaindex.com/pt-br/team/245/ajax/,,,,,https://www.fifaindex.com/pt-br/team/246/feyenoord/,,,,,https://www.fifaindex.com/pt-br/team/247/psv/,,,,,https://www.fifaindex.com/pt-br/team/78/celtic/,,,,,https://www.fifaindex.com/pt-br/team/896/basel/,,,,,https://www.fifaindex.com/pt-br/team/254/sk-rapid-wien/,,,,,https://www.fifaindex.com/pt-br/team/298/rosenborg-bk/,,,,,https://www.fifaindex.com/pt-br/team/819/fc-k%C3%B8benhavn/,,,,,https://www.fifaindex.com/pt-br/team/191/red-bull-salzburg/,,,,,https://www.fifaindex.com/pt-br/team/320/malm%C3%B6-ff/,,,,,https://www.fifaindex.com/pt-br/team/86/rangers-fc/,,,,,https://www.fifaindex.com/pt-br/team/1896/sc-braga/,,,,,https://www.fifaindex.com/pt-br/team/1887/vit%C3%B3ria-de-guimar%C3%A3es/,,,
,Porto,,,,,Benfica,,,,,Sporting,,,,,Ajax,,,,,Feyenoord,,,,,PSV,,,,,Celtic,,,,,Basel,,,,,Rapid Viena,,,,,Rosemborg,,,,,Copenhague,,,,,RB Salzburg,,,,,Malmo,,,,,Glasgow Rangers,,,,,Braga,,,,,Vitória Guimarães,,,
,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT
,Diogo Costa,GOL,22,7686,,Odisseas Vlachodimos,GOL,27,8183,,Adán,GOL,34,8181,,Remko Pasveer,GOL,38,7575,,Justin Bijlow,GOL,23,7886,,Joël Drommel,GOL,25,7581,,Joe Hart,GOL,34,7575,,Heinz Lindner,GOL,31,7575,,Paul Gartler,GOL,24,6569,,André Hansen,GOL,32,7474,,Kamil Grabara,GOL,22,7076,,Philipp Köhn,GOL,23,6975,,Johan Dahlin,GOL,35,7272,,Allan McGregor,GOL,39,7575,,Matheus,GOL,29,7981,,Bruno Varela,GOL,27,7375
,João Mário,LDMD,21,7484,,Valentino LazaroL,MDADDLD,25,7780,,Pedro PorroL,ADDMD,22,8087,,Noussair Mazraoui,LD,24,8186,,Marcus Holmgren Pedersen,LD,21,7284,,Phillipp Mwene,LDLE,27,7373,,Anthony Ralston,LD,23,7076,,Tomás TavaresL,LDLE,20,7382,,Filip Stojković,LDZAGADD,28,7373,,Erlend Dahl Reitan,LDZAG,24,6572,,Kevin Diks,LD,25,7376,,Rasmus Kristensen,LD,24,7681,,Eric Larsson,LD,30,6969,,James Tavernier,LD,30,7777,,Paulo Oliveira,ZAG,29,7677,,Falaye Sacko,LD,26,7376
,Chancel Mbemba,ZAG,27,7982,,André Almeida,LD,31,7676,,Gonçalo Inácio,ZAG,20,7887,,Jurriën Timber,ZAGLD,20,7888,,Gernot Trauner,ZAG,29,7777,,André Ramalho,ZAG,29,7576,,Cameron Carter-VickersL,ZAG,23,7180,,Eray Cömert,ZAG,23,7182,,Emanuel Aiwu,ZAGVOL,20,6777,,Hólmar Örn Eyjólfsson,ZAG,31,6868,,Davit Khocholava,ZAG,28,7273,,Kamil Piątkowski,ZAGMD,21,7179,,Anel Ahmedhodžić,ZAG,22,7383,,Connor Goldson,ZAG,29,7576,,Diogo LeiteL,ZAG,22,7381,,Toni Borevković,ZAG,24,7280
,Pepe,ZAG,38,8282,,Nicolás Otamendi,ZAG,33,8181,,Sebastián Coates,ZAG,31,8383,,Lisandro Martínez,ZAGLEVOL,23,8086,,Marcos Senesi,ZAG,24,7882,,Olivier Boscagli,ZAGLEVOL,24,7681,,Carl Starfelt,ZAG,26,7276,,Andy PelmardL,ZAGLD,21,7183,,Maximilian Hofmann,ZAG,28,6971,,Even Hovland,ZAG,32,6868,,Nicolai Boilesen,ZAGLE,29,7070,,Oumar Solet,ZAG,21,7180,,Niklas Moisander,ZAG,36,7171,,Calvin Bassey,LE,21,6579,,Sequeira,LEZAG,31,7878,,Abdul Mumin,ZAG,23,7078
,Güclü Sanusi,LE,24,7580,,Jan Vertonghen,ZAG,34,8181,,Karagöz Feddal,ZAG,31,8080,,Daley Blind,LEZAG,31,8282,,Tyrell Malacia,LE,22,7782,,Philipp Max,LE,28,7979,,Josip Juranović,LDLE,26,7376,,Raoul Petretta,LE,24,7279,,Maximilian Ullmann,LEADEME,25,7377,,Adam Andersson,LELD,25,6671,,Victor Kristiansen,LE,19,6580,,Andreas Ulmer,LE,36,7474,,Martin Olsson,LEZAG,33,7171,,Borna Barišić,LE,29,7575,,van Rhijn,MDLDADD,19,6782,,Rafa Soares,LE,26,7376
,Otávio,MDMEMC,26,8182,,Grimaldo,LEMEADE,26,8285,,Matheus Reis,LEZAGADE,26,7679,,Edson Carlos Martín,VOLZAG,24,7984,,Jens Toornstra,MCVOLMEI,32,7676,,Soulé Gutiérrez,MCVOL,26,7477,,Callum McGregor,VOLMC,28,7777,,Jordi Quintillà,MCVOL,28,7575,,Dejan Petrovič,MCVOL,23,6975,,Per Ciljan Skjelbred,VOLMC,34,7272,,Lukas Lerager,MC,28,7070,,Mohamed Camara,VOLMC,21,7483,,Sergio Peña,MEIMC,26,7275,,Joe Aribo,MC,25,7478,,Ali Musrati,VOLMC,25,7781,,Tomás Händel,VOLMC,21,6681
,Mateus Uribe,MCVOL,30,7979,,Julian Weigl,MCVOL,26,7982,,Matheus Nunes,MC,23,7886,,Ryan Gravenberch,MC,19,7890,,Orkun Kökçü,MCMEI,20,7684,,Ibrahim Sangaré,VOLMC,24,7985,,Tom Rogić,MCMEI,29,7474,,Fabian Frei,VOL,32,7272,,Robert Ljubicic,MCADEVOL,22,6675,,Markus Henriksen,VOLMC,29,7373,,Rasmus Falk,MCMEMD,29,7575,,Nicolás Capaldo,MCLD,23,7177,,Oscar Lewicki,VOLMC,29,6969,,Glen Kamara,MC,26,7578,,André Horta,MC,25,7378,,André Almeida,MC,21,7180
,Sérgio Oliveira,MC,29,8080,,Rafa,MDSAME,28,8282,,Palhinha,VOLMC,26,8287,,Steven Berghuis,MEIPD,30,8282,,Guus TilL,MEI,23,7479,,Noni Madueke,MDATA,19,7788,,David Turnbull,MCMEI,22,7482,,Edon Pršo,MDME,22,7180,,Taxiarchis Fountas,MEIATAME,26,7376,,Stefano Vecchia,PEMEI,26,7171,,Jens Stage,MCPD,25,7073,,Nicolas Seiwald,MCVOL,20,7080,,Anders Christiansen,MCMEI,31,7575,,Scott Arfield,MC,33,7171,,Galeno,MEPD,24,7781,,André André,MC,32,7575
,Luis Díaz,ME,24,8286,,Roman JiMin,ATA,26,7780,,Pedro Gonçalves,PDMC,23,8188,,Antony,PD,21,8189,,Alireza Jahanbakhsh,PD,28,7373,,Mario Götze,MEIMC,29,8282,,James Forrest,PDPE,30,7474,,Valentin Stocker,MEMDMEI,32,7272,,Marco Grüll,MEATAMD,23,7076,,Carlo Holse,PDMC,22,6876,,William Bøving,PEPD,18,6277,,Brenden Aaronson,MEIMEMC,21,7180,,Jo Inge Berget,PD,31,6868,,Ianis Hagi,SA,23,7482,,Iuri Medeiros,PDMDSA,27,7373,,Marcus Edwards,PDPE,23,7683
,Evanilson,ATA,22,7484,,Darwin Núñez,ATAPE,22,7685,,Paulinho,ATA,29,7979,,Sébastien Haller,ATA,27,8283,,Bryan Linssen,ATAPE,31,7575,,Cody Gakpo,MEATA,22,7985,,Kyogo Furuhashi,ATAPE,26,7578,,Pajtim Kasami,MCVOLMEI,29,7474,,Christoph Knasmüllner,MEIATA,29,7070,,Dino Islamović,ATA,27,6768,,Pep Biel,MEIPD,25,7073,,Karim Adeyemi,ATA,19,7386,,Antonio ČolakL,ATA,28,7373,,Ryan Kent,SA,25,7681,,Ricardo Horta,SAATAPE,27,7980,,Dawda Estupiñán,ATA,24,7077
,Mehdi Taremi,ATASA,29,7979,,Pizzi,MCMD,32,8080,,Pablo SarabiaL,PDMEIPE,29,8080,,Dušan Tadić,PESA,33,8484,,Luis Sinisterra,PEPD,22,7884,,ViníciusL,ATA,26,7780,,JotaL,PE,22,7484,,Arthur Cabral,ATA,23,7785,,Ercan Kara,ATA,25,7377,,Emil Ceïde,PEPD,20,6779,,Jonas Wind,ATASA,22,7278,,Noah Okafor,ATAMEIME,21,7281,,Veljko Birmančević,PE,23,7180,,Alfredo Morelos,ATA,25,7681,,Mario González,ATAMD,25,7378,,Quaresma,PDPE,38,7777
,Bruno Costa,MC,24,7681,,Soualiho Meïté,MCVOL,27,7677,,Daniel Bragança,MC,22,7584,,Mohammed Kudus,MEIMC,21,7785,,Fredrik Aursnes,VOLMC,26,7377,,Bruma,MEMD,27,7676,,Liel Abada,PD,20,7280,,Taulant Xhaka,VOL,30,7171,,Koya Kitagawa,ATASAMEI,25,6670,,Edvard Sandvik Tagseth,MC,20,6477,,Li Qingtong Jóhannesson,MEIMCPD,18,6782,,Antoine Bernede,VOLMC,22,7178,,Erdal Rakip,MCVOL,25,6771,,Steven Davis,MC,36,7575,,Castro,MCVOL,33,7373,,Tiago Silva,MCMEI,28,7272
,Marko Grujić,MCVOL,25,7579,,Gilberto,LDADD,28,7575,,Luís Neto,ZAG,33,7878,,Nicolás Tagliafico,LE,29,8282,,Lennard Hartjes,VOLMC,18,6480,,Marco Mohamed Belhadj,MCVOL,29,7575,,Michael Johnston,PEPD,22,6980,,Darian MalesL,MDATAMEI,20,6380,,Srđan Grahovac,VOLMC,29,6969,,Olaus Jair Skarsem,MCMEIPD,23,6372,,Andri Fannar BaldurssonL,MC,19,6075,,Luka Sučić,MEIMCMD,19,6983,,Bonke Innocent,VOLMC,25,6770,,John Lundstram,MC,27,7273,,Lucas Mineiro,MCVOL,25,7075,,Alfa Semedo,VOLMCMEI,24,6975
,Marcano,ZAG,34,7777,,Morato,ZAG,20,7386,,Ricardo Esgaio,ADDLDMD,28,7878,,Perr Schuurs,ZAG,22,7483,,Lutsharel Geertruida,LDZAG,21,7583,,Mauro Júnior,MEIME,22,7479,,Nir Bitton,VOLZAG,30,7171,,Michael Lang,LD,30,7171,,Kelvin Arase,MDME,22,6976,,Adrian Nilsen Pereira,LE,22,6775,,Peter Ankersen,LD,31,7070,,Jérôme Onguéné,ZAG,23,7178,,Franz Brorsson,ZAG,25,6770,,Leon Balogun,ZAG,33,7474,,Vítor Tormena,ZAG,25,7578,,Jorge Fernandes,ZAG,24,7074
,Wilson Manafá,LDLE,27,7575,,Helton Leite,GOL,31,7777,,Rúben VinagreL,ADELE,22,7585,,Devyne Rensch,LD,18,7385,,Ramon Hendriks,ZAGLE,20,6680,,Jordan Teze,ZAGLD,22,7481,,Stephen Welsh,ZAG,21,6978,,Gonçalo CardosoL,ZAG,21,6473,,Kevin Wimmer,ZAGLE,29,6969,,Besim Šerbečić,ZAG,23,6473,,Ruben GabrielsenL,ZAG,29,6970,,Daouda Guindo,LE,19,6580,,Felix Beijmo,LD,23,6774,,Nathan Patterson,LD,20,6680,,Fabiano Souza,LDMD,21,6679,,Sílvio,LELD,34,6767
