a,Bernard MensahL,MEIMC,26,7477,,Serdar Aziz,ZAG,30,7575,,Gedson FernandesL,MC,22,7483,,Sergiy Kryvtsov,ZAG,30,7474,,Andrey Lunev,GOL,29,79,,Viktor Vasin,ZAG,32,75,,Ezequiel Ponce,ATA,24,77,,Bruma,PEPD,26,7576,,Igor Smolnikov,LD,32,77,,Heorhiy Bushchan,GOL,26,77,,Rasmus Lauritsen,ZAG,25,7277,,Ladislav Krejčí,VOLZAGMC,21,7380,,Kiril Despodov,ATA,24,75,,Filip Stevanović,MEI,18,75,,Veljko Nikolić,MEI,21,75,,Dieumerci Ndongala,LD,29,73,
a,Welinton,ZAG,32,7474,,Mbwana Ally SamattaL,ATA,28,7575,,Marcelo SaracchiL,LE,22,7481,,Marcos Antonio,MCVOL,20,7385,,Aleksandr Erokhin,MEI,31,78,,Hördur Magnússon,ZAG,28,75,,Jordan Larsson,ATA,23,77,,Andreas Bouchalakis,MCVOL,28,7575,,Aleksey Ionov,ATA,32,77,,Volodymyr Shepelyev,MEI,23,77,,Josip Mišić,MCVOLMEI,26,7274,,Michal Sáček,LDVOLMC,24,7378,,Anton Nedyalkov,LE,27,75,,Vladimir Stojković,GOL,37,74,,Nemanja Milunović,ZAG,31,74,,Joe Garner,ATA,33,72,
a,Cenk TosunL,ATA,29,7474,,Ozan Tufan,MCVOLMEI,26,7477,,Mostafa Mohamed,ATA,23,7481,,Dodô,LDADD,22,7684,,Magomed Ozdoev,VOL,28,78,,Ilzat Akhmetov,MEI,23,75,,Zelimkhan Bakaev,MEI,24,77,,Giorgios Masouras,MEMD,27,7575,,Cristian Ramírez,VOL,26,77,,Denys Harmash,MEI,31,75,,Kristijan Jakić,VOLMC,23,7177,,Lukáš Juliš,ATA,26,7376,,Oliveira Cauly,MEI,25,75,,Aleksandar Miljković,LD,31,74,,Milan Rodić,LE,30,74,,Emilio Nsue,MEI,31,72,
a,Cyle Larin,ATAMEMD,25,7378,,Nazim Sangaré,LD,26,7477,,Emre Kılınç,MEMDMC,26,7475,,Maycon,MCVOL,23,7882,,Marcus Wendel,VOL,23,78,,Arnór Sigurdsson,ATA,21,75,,Ayrton Lucas,LE,23,77,,Jose Holebas,LEADE,36,7474,,Kristoffer Olsson,MEI,25,77,,Carlos De Pena,MEI,29,75,,Marko Tolić,MEIPEPD,24,7176,,Milan Heča,GOL,30,7373,,Bernard Tekpetey,MEI,23,75,,Bojan Ostojić,ZAG,37,74,,Mirko Ivanić,MEI,27,74,,Marius Lundemo,VOL,27,72,
a,Gökhan Töre,MDME,29,7373,,Marcel Tisserand,ZAGLE,28,7476,,Taylan Antalyalı,VOLMC,26,7378,,Mykola Matvienko,ZAGLE,24,7580,,Yuri Zhirkov,LE,37,77,,Chidera Ejuke,ATA,23,75,,Aleksandr Maksimenko,GOL,23,77,,Ousseynou Ba,ZAG,25,7378,,Matvey Safonov,GOL,22,77,,Volodymyr Kostevych,LE,28,75,,Petar Stojanović,LDMD,25,7174,,Michal Trávník,MCVOL,26,7275,,Alex Santana,MEI,25,75,,Macky Bagnack,ZAG,25,74,,Miloš Degenek,ZAG,26,74,,Jack Byrne,MEI,24,72,
a,Dorukhan Toköz,VOLMC,24,7277,,Dimitrios Pelkas,MEIME,27,7474,,DeAndre Yedlin,ADDLD,27,7374,,Viktor Korniienko,LE,22,7382,,Vyacheslav Karavaev,LD,25,77,,Konstantin Kuchaev,MEI,23,75,,Andrey Eschenko,LD,37,75,,Ahmed Hassan,ATA,28,7373,,Ruslan Kambolov,ZAG,31,75,,Mykyta Burda,ZAG,26,75,,Dino Perić,ZAG,26,7172,,Lukáš Štetina,ZAG,29,7273,,Georgi Terziev,ZAG,29,74,,Aleksandar Lutovac,ATA,23,74,,Njegoš Petrović,VOL,21,74,,Francis Uzoho,GOL,22,72,
a,Fabrice N'Sakala,LE,30,7171,,Bright Osayi-Samuel,MDMEATA,23,7381,,Martin Linnes,LDLE,29,7373,,Fernando,MEATA,22,7582,,Aleksey Sutormin,MEI,27,75,,Igor Diveev,ZAG,21,75,,Artem Rebrov,GOL,37,75,,Marios Vrousai,MEMDMEI,22,7279,,Evgeni Gorodov,GOL,35,75,,Mikkel Duelund,MEI,23,75,,Mario Gavranović,ATAMEISA,31,7171,,David Lischka,ZAG,23,7179,,Plamen Iliev,GOL,29,74,,Svetozar Marković,ZAG,21,74,,Axel Bakayoko,MEI,23,74,,Victor Klonaridis,ATA,28,71,
a,Douglas,LDMD,30,7171,,Enner Valencia,ATAMDMEI,31,7373,,Ömer Bayram,MEMCLE,29,7373,,Davit Khocholava,ZAG,28,7373,,Mikhail Kerzhakov,GOL,34,74,,Konstantin Maradishvili,MEI,21,74,,Aleksandr Sobolev,ATA,24,75,,Tiago Silva,MEIMC,27,7273,,Egor Sorokin,ZAG,25,75,,Artem Biesiedin,ATA,25,75,,Sadegh Moharrami,LD,25,7074,,Andreas Vindheim,LDMD,25,7176,,Jordan Ikoko,LD,27,74,,Milan Smiljanić,VOL,34,72,,El Fardou Ben,ATA,31,72,,Giorgos Efrem,MEI,31,70,
a,Ersin Destanoğlu,GOL,20,6981,,Sinan Gümüş,MDATA,27,7373,,Emre Akbaba,MEIMCME,28,7373,,Dentinho,MEIATA,32,7371,,Danil Krugovoy,LE,22,74,,Bruno Fuchs,ZAG,22,74,,Aleksandr Selikhov,GOL,27,75,,Lazar Ranđelović,MDMEADD,23,7176,,Dmitri Stotskiy,VOL,31,75,,Mykola Shaparenko,MEI,22,75,,Lirim Kastrati,PDPEATA,22,6977,,Libor Kozák,ATA,31,7171,,Higinio Marín,ATA,27,74,,Ivan Obradović,LE,32,72,,Diego Falcinelli,ATA,29,72,,Christos Wheeler,LE,23,69,
a,MonteroL,ZAG,22,6981,,Papiss Demba Cissé,ATA,35,7373,,Arda Turan,MEMC,34,7272,,Valeriy Bondar,ZAG,22,7081,,Dmitri Chistyakov,ZAG,27,74,,Emil Bohinen,VOL,22,72,,Ayaz Guliev,MEI,24,75,,Athanasios Androutsos,LDADDMC,23,6975,,Shapi Suleymanov,MEI,21,75,,Oleksandr Tymchyk,LD,24,75,,Iyayi Atiemwen,MDMEIME,25,6972,,Adam Karabec,MEIMCME,17,7086,,Olivier Verdon,ZAG,25,74,,Rajko Brežančić,LE,31,72,,Slavoljub Srnić,MEI,29,72,,Christos Sielis,ZAG,21,68,
a,Necip Uysal,ZAGVOL,30,6969,,Attila Szalai,ZAG,23,7283,,Oghenekaro EteboL,MCVOL,25,7175,,Marquinhos Cipriano,LEME,22,7079,,Andrey Mostovoy,ATA,23,74,,Baktiyor Zaynutdinov,MEI,23,72,,Nail Umyarov,VOL,20,75,,Mohamed Dräger,LDMD,24,6974,,Evgeni Chernov,LE,28,74,,Vladyslav Supriaha,ATA,21,75,,Marin Leovac,LEME,32,6969,,Matěj Hanousek,ADEMELE,27,7071,,Cosmin Moti,ZAG,36,73,,Nemanja Stevanović,GOL,28,72,,Milan Gajić,VOL,25,72,,Facundo Zabala,LE,22,67,
a,Rıdvan Yılmaz,LE,19,6881,,Mert Hakan Yandaş,MEIMC,26,7275,,Oğulcan Çağlayan,MDATAME,25,7173,,Oleksiy Shevchenko,GOL,29,7272,,Daniil Shamkin,MEI,18,65,,Nayair Tiknizyan,MEI,21,72,,Pavel Maslov,VOL,21,74,,Oleg Reabciuk,LE,23,6874,,Daniil Utkin,MEI,21,74,,Gerson Rodrigues,ATA,25,75,,Bartol Franjic,VOLZAGLE,21,6877,,Dominik Plechatý,ZAGLD,21,6976,,Elvis Manu,ATA,27,73,,Igor Vujačić,ZAG,26,72,,Nikola Vasiljević,GOL,24,72,,Kostas Apostolakis,VOL,21,66,
a,Ajdin Hasić,MEIMD,19,6580,,Ferdi Kadioglu,MEMEIPD,21,7185,,Şener Özbayraklı,LD,31,7171,,Maksym Malyshev,VOL,28,7071,,Igor Garpov,LD,23,70,,Vadim Karpov,ZAG,18,72,,Ilya Gaponov,ZAG,23,70,,Hugo Cuypers,ATA,24,6873,,Kaio Pantaleão,ZAG,25,74,,Silveira Clayton,ATA,25,74,,Marijan Čabraja,LEADE,24,6873,,Tomáš Wiesner,LDMD,23,6975,,Mavis Tchibota,ATA,24,73,,Filip Holender,ATA,26,72,,Veljko Simić,MEI,26,72,,Rafael Santos,ZAG,23,66,
a,Utku Yuvakuran,GOL,23,6474,,Mame Thiam,MEMDATA,28,7171,,Emre Taşdemir,LEME,25,7074,,Vitao,ZAG,21,7082,,Aleksenko Util,VOL,31,72,,Ilya Pomazun,GOL,24,70,,Dmitri Markitesov,MEI,20,65,,Avraam Papadopoulos,ZAG,36,6868,,Egor Baburin,GOL,27,72,,Oleksandr Andriyevsky,MEI,26,74,,Izet Hajrović,MD,29,6868,,Matěj Polidar,MELE,21,6876,,Santos Renan,GOL,31,72,,Marko Živković,LD,26,70,,Zoran Popović,GOL,32,70,,Apostolos Tsilingiris,GOL,20,65,
a,Emre Bilgin,GOL,17,5876,,Harun Tekin,GOL,31,7070,,Fatih Öztürk,GOL,34,6969,,Anatoliy Trubin,GOL,19,6878,,Pushkin Trapov,GOL,17,64,,Ilia Shkurin,ATA,21,70,,Oleg Victor,LD,27,68,,Ögmundur Kristinsson,GOL,31,6767,,Evgeni Markov,ATA,26,72,,Mohammed Kadiri,ZAG,25,74,,Danijel Zagorac,GOL,34,6767,,Ondřej Zahustel,LDMD,29,6868,,Kristijan Kahlina,GOL,28,72,,Lazar Pavlović,MEI,19,70,,Željko Gavrić,MEI,20,70,,Nikolas Koutsakos,ATA,17,62,
a,Bilal Ceylan,LD,17,5874,,Mauricio Lemos,ZAGVOL,25,6973,,Kerem Aktürkoğlu,ME,22,6878,,Sergiy Bolbat,LDMDADD,27,6667,,Olivier Ustrav,ZAG,20,66,,Vladislav Torop,GOL,17,59,,Vladimir Olikishenko,LE,22,64,,Konstantinos Tzolakis,GOL,18,6380,,Aleks Matsukatov,MEI,22,70,,Bohdan Lednev,MEI,23,74,,Stefan Milić,ZAG,20,6573,,Filip Souček,MCVOL,20,6777,,Vladislav Stoyanov,GOL,33,71,,Aleksandar Popović,GOL,21,69,,Nikola Krstović,ATA,21,69,,Stavros Gavriel,MEI,19,62,
,https://www.fifaindex.com/pt-br/team/327/be%C5%9Fikta%C5%9F-jk/,,,,,https://www.fifaindex.com/pt-br/team/326/fenerbah%C3%A7e-sk/,,,,,https://www.fifaindex.com/pt-br/team/325/galatasaray-sk/,,,,,https://www.fifaindex.com/pt-br/team/101059/fc-shakhtar/,,,,,,,,,,,,,,,,,,,,https://www.fifaindex.com/pt-br/team/280/olympiakos-cfp/,,,,,,,,,,,,,,,https://www.fifaindex.com/pt-br/team/211/dinamo-zagreb/,,,,,https://www.fifaindex.com/pt-br/team/267/sparta-praga/,,,,,,,,,,,,,,,,,,,,,,,,
8,Besiktas,,,,,Fenerbahce,,,,,Galatasaray,,,,,Shaktar Donetsk,,,,,Zenit,,,,,CSKA,,,,,Spartak Moscou,,,,,Olympiakos,,,,,Krasnodar,,,,,Dinamo Kiev,,,,,Dinamo Zagreb,,,,,Sparta Praga,,,,,Ludogorets,,,,,Partizan,,,,,Estrela Vermelha,,,,,APOEL,,,,
,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,,Nome,Posições Preferidas,Idade,GER POT,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,
,Ersin Destanoğlu,GOL,20,6981,,Altay Bayındır,GOL,23,7584,,Fernando Muslera,GOL,34,8282,,Anatoliy Trubin,GOL,19,6878,,Yuri Zhirkov,LE,37,77,,Igor Akinfeev,GOL,35,80,,Andrey Eschenko,LD,37,75,,José Sá,GOL,28,7981,,Marcus Berg,ATA,34,80,,Denys Harmash,MEI,31,75,,Dominik Livaković,GOL,26,8186,,Florin Niță,GOL,33,7676,,Claudiu Keserü,ATA,34,77,,Vladimir Stojković,GOL,37,74,,Nemanja Milunović,ZAG,31,74,,Ben Sahar,ATA,31,74,
,Valentin RosierL,LD,24,7782,,Gökhan Gönül,LD,36,7575,,Martin Linnes,LDLE,29,7373,,Dodô,LDADD,22,7384,,Artem Dzyuba,ATA,32,80,,Kirill Nababkin,VOL,34,75,,Victor Moses,MEI,30,80,,Kenny Lala,LDADD,29,7676,,Ferreira Ari,MEI,35,77,,Denys Boyko,GOL,33,77,,Sadegh Moharrami,LD,25,7074,,Martin Vitík,ZAGVOL,18,6484,,Cosmin Moti,ZAG,36,73,,Milan Smiljanić,VOL,34,72,,El Fardou Ben,ATA,31,72,,Joe Garner,ATA,33,72,
,Welinton,ZAG,32,7474,,Serdar Aziz,ZAG,30,7575,,Christian Luyindama,ZAG,27,7679,,Vitao,ZAG,21,6982,,Dejan Lovren,ZAG,31,81,,Alan Dzagoev,MEI,30,79,,Artem Rebrov,GOL,37,75,,Rúben Semedo,ZAG,27,7780,,Igor Smolnikov,LD,32,77,,Serhiy Sydorchuk,VOL,29,79,,Rasmus Lauritsen,ZAG,25,7277,,Ondřej Čelůstka,ZAG,31,7474,,Svetoslav Dyakov,VOL,36,76,,Bebras Natcho,MEI,33,78,,Milan Borjan,GOL,33,78,,Giorgios Merkis,ZAG,36,74,
,Domagoj Vida,ZAGLD,31,7777,,Attila Szalai,ZAG,23,7283,,Marcão,ZAG,24,7683,,Mykola Matvienko,ZAGLE,24,7380,,Yaroslav Rakitskiy,ZAG,31,81,,Salomón Rondón,ATA,31,81,,Ilya Kutepov,ZAG,27,77,,Sokratis,ZAG,32,7777,,Aleksandr Martynovich,ZAG,33,78,,Benjamin Verbić,ATA,27,79,,Kévin Théophile-Catherine,ZAGLD,31,7373,,Dávid Hancko,ZAGLE,23,7383,,Vladislav Stoyanov,GOL,33,71,,Ivan Obradović,LE,32,72,,Diego Falcinelli,ATA,29,72,,Emilio Nsue,MEI,31,72,
,Fabrice N'Sakala,LE,30,7171,,Caner Erkin,LEME,32,7777,,Marcelo SaracchiL,LE,22,7481,,Ismaily,LE,31,8181,,Mikhail Kerzhakov,GOL,34,74,,Georgi Schennikov,LE,29,77,,Quincy Promes,MEI,29,81,,Oleg Reabciuk,LE,23,6874,,Aleksey Ionov,ATA,32,77,,Tomasz Kędziora,LD,26,78,,Joško Gvardiol,ZAGLE,19,7287,,Ladislav Krejčí,VOLZAGMC,21,7380,,Santos Renan,GOL,31,72,,Aleksandar Miljković,LD,31,74,,Milan Rodić,LE,30,74,,Atdhe Nuhiu,ATA,31,74,
,Souza,VOLMC,32,7777,,Ozan Tufan,MCVOLMEI,26,7477,,Oghenekaro EteboL,MCVOL,25,7175,,Maycon,MCVOL,23,7382,,Aleksandr Erokhin,ATA,31,78,,Viktor Vasin,ZAG,32,75,,Jorrit Hendrix,VOL,26,79,,Yann M'Vila,VOLMC,30,7979,,Ruslan Kambolov,ZAG,31,75,,Oleksandr Karavaev,MEI,28,77,,Kristijan Jakić,VOLMC,23,7177,,David Pavelka,VOLMCZAG,29,7474,,Dragos Grigore,ZAG,34,75,,Rajko Brežančić,LE,31,72,,Slavoljub Srnić,MEI,29,72,,Giorgos Efrem,MEI,31,70,
,Rachid GhezzalL,MDPD,28,7676,,José Sosa,MCVOL,35,7777,,Henry OnyekuruL,MEATA,23,7580,,Marcos Antonio,MCVOL,20,7385,,Magomed Ozdoev,VOL,28,78,,Mário Fernandes,LD,30,81,,Roman Zobnin,VOL,27,80,,Mady Camara,MCVOL,24,7782,,Evgeni Gorodov,GOL,35,75,,Carlos De Pena,MEI,29,75,,Arijan Ademi,VOLMC,29,7676,,Andreas Vindheim,LDMD,25,7176,,Georgi Terziev,ZAG,29,74,,Jean-Christophe Bahebeck,ATA,27,75,,Filippo Falco,ATA,29,75,,Paulo Vinícius,ZAG,31,74,
,Atiba Hutchinson,VOLMC,38,7676,,Bright Osayi-Samuel,MDMEATA,23,7381,,Gedson FernandesL,MC,22,7483,,Tete,MDPD,21,7686,,Douglas Santos,ZAG,27,79,,Hördur Magnússon,ZAG,28,75,,Ezequiel Ponce,ATA,24,77,,Andreas Bouchalakis,MCVOL,28,7575,,Rémy Cabella,MEI,31,80,,Vitaliy Buyalskiy,MEI,28,78,,Lovro Majer,MEIMCMD,23,7684,,Matěj Hanousek,ADEMELE,27,7071,,Plamen Iliev,GOL,29,74,,Lazar Marković,ATA,27,77,,Aleksandar Katai,MEI,30,77,,Victor Klonaridis,ATA,28,71,
,Adem Ljajić,MEIMCME,29,7777,,Dimitrios Pelkas,MEIME,27,7474,,Emre Kılınç,MEMDMC,26,7475,,Manor Solomon,MDMEMEI,21,7585,,Wilmar Barrios,VOL,27,81,,Nikola Vlašić,MEI,23,81,,Samuel Gigot,ZAG,27,78,,Bruma,PEPD,26,7576,,Sergey Petrov,LD,30,78,,Volodymyr Kostevych,LE,28,75,,Lirim Kastrati,PDPEATA,22,6977,,Bořek Dočkal,MEIMC,32,7575,,Abel Anicet,MEI,31,75,,Miloš Jojić,MEI,29,75,,Sékou Sanogo,VOL,31,75,,Dieumerci Ndongala,ATA,29,73,
,Cyle Larin,ATAMEMD,25,7378,,Mesut Özil,MEIPD,32,8080,,Kerem Aktürkoğlu,ME,22,6878,,Marlos,MEIMD,32,8181,,Sardar Azmoun,ATA,26,81,,Ilzat Akhmetov,MEI,23,75,,Aleksandr Sobolev,ATA,24,75,,Youssef El Arabi,ATA,34,7979,,Viktor Claesson,ATA,29,80,,Silveira Clayton,ATA,25,74,,Bruno Petković,ATAMEI,26,7780,,David Moberg Karlsson,MDMESA,27,7575,,Pieros Sotiriou,ATA,28,77,,Seydouba Soumah,MEI,29,75,,Marko Gobeljić,VOL,28,75,,Tomás De Vincenti,MEI,32,74,
,Vincent Aboubakar,ATA,29,7676,,Enner Valencia,ATAMDMEI,31,7373,,Mostafa Mohamed,ATA,23,7481,,Júnior Moraes,ATA,34,7878,,Sebastián Driussi,ATA,25,80,,Ilya Pomazun,GOL,24,70,,Jordan Larsson,ATA,23,77,,Konstantinos Fortounis,MEIPEPD,28,7979,,Cristian Ramírez,VOL,26,77,,Mykyta Burda,ZAG,26,75,,Mislav Oršić,MEPEATA,28,7777,,Lukáš Juliš,ATA,26,7376,,Josué Sá,ZAG,28,75,,Marko Živković,LD,26,70,,Zoran Popović,GOL,32,70,,Ghayas Zahid,MEI,26,75,
,Oğuzhan Özyakup,MCVOLMEI,28,7575,,Luiz Gustavo,VOLZAG,33,7979,,Sofiane Feghouli,MDMCMEI,31,7878,,Dentinho,MEIATA,32,7171,,Vyacheslav Karavaev,LD,25,77,,Emil Bohinen,VOL,22,72,,Aleksandr Selikhov,GOL,27,75,,Mathieu Valbuena,PEMEI,36,7777,,Tonny Vilhena,VOL,26,80,,Pereira Sidcley,LE,27,77,,Mario Gavranović,ATAMEISA,31,7171,,Ladislav Krejčí,MELE,28,7474,,Gusmão Cicinho,LD,32,76,,Bojan Ostojić,ZAG,37,74,,Mirko Ivanić,MEI,27,74,,Marius Lundemo,VOL,27,72,
,Bernard MensahL,MEIMC,26,7477,,Nazim Sangaré,LD,26,7477,,Ryan Donk,ZAGVOL,35,7575,,Valeriy Bondar,ZAG,22,7081,,Filipe Malcom,MEI,24,81,,Ivan Oblyakov,VOL,22,77,,Pedro Rocha,ATA,26,78,,Jose Holebas,LEADE,36,7474,,Wanderson Maciel,MEI,26,79,,Mikkel Duelund,MEI,23,75,,Bartol Franjic,VOLZAGLE,21,6877,,Adam Karabec,MEIMCME,17,7086,,Elvis Manu,ATA,27,73,,Saša Zdjelar,VOL,26,77,,Guélor Kanga,MEI,30,77,,Artur Jorge,ZAG,26,74,
,Douglas,LDMD,30,7171,,Sadık Çiftpınar,ZAG,28,6971,,Emre Taşdemir,LEME,25,7074,,Marquinhos Cipriano,LEME,22,7079,,Daler Kuzyaev,LD,28,79,,Fedor Chalov,ATA,23,79,,Zelimkhan Bakaev,MEI,24,77,,Avraam Papadopoulos,ZAG,36,6868,,Egor Baburin,GOL,27,72,,Artem Biesiedin,ATA,25,75,,Renato Josipović,GOL,19,6077,,Filip Panák,ZAGVOLMC,25,6774,,Stéphane Badji,LD,30,75,,Nemanja Stevanović,GOL,28,72,,Milan Gajić,VOL,25,72,,Mohamed Anuar,,26,75,
,Rıdvan Yılmaz,LE,19,6881,,Mert Hakan Yandaş,MEIMC,26,7275,,Şener Özbayraklı,LD,31,7171,,Davit Khocholava,ZAG,28,7173,,Andrey Lunev,GOL,29,79,,Arnór Sigurdsson,ATA,21,75,,Georgiy Dzhikiya,ZAG,27,79,,Hugo Cuypers,ATA,24,6873,,Yuri Gazinskiy,VOL,31,79,,Mykola Shaparenko,MEI,22,75,,Iyayi Atiemwen,MDMEIME,25,6972,,David Lischka,ZAG,23,7179,,Kiril Despodov,ATA,24,75,,Macky Bagnack,ZAG,25,74,,Miloš Degenek,ZAG,26,74,,Christos Wheeler,LE,23,69,
