a,Miguel Ángel Merentiel,ATAMD,25,7073,,Adam Smith,LDADDLE,30,7474,,Uillian Correia,VOL,32,74,,Raúl Cáceres,LD,30,74,,Brian Montenegro,ATA,28,74,,Stiven Plaza,ATA,22,6675,,Hamdan al Shamrani,MEI,25,72,,Saoud Mubarak,GOL,30,68,,Kai Shibato,VOLMC,26,6870,,Badr Benoun,ZAG,28,74,,Mohammad Ounnajem,MEI,30,72,,Hamid Ahadad,ATA,27,70,,Brayan Rovira,MEI,25,74,,Bruno Maia,LE,33,68,,,,,,,,,,,,
a,Nazareno Colombo,ZAG,22,6979,,Nathaniel PhillipsL,ZAG,24,7379,,Kelvin Osorio,MEI,28,74,,Carlos Eduardo,VOL,35,74,,Guilherme Dellatorre,ATA,29,74,,Nicolás Previtali,VOLMC,26,6468,,Haroune Camara,ATA,24,72,,Ismaeel Mohammed,VOL,31,68,,Shusaku Nishikawa,GOL,35,6868,,Aliou Dieng,VOL,24,74,,Emam Ashour,MEI,24,72,,Ayoub Lakred,GOL,26,70,,Jeison Lucumi,MEI,26,74,,Gonçalves Graxa,VOL,28,68,,,,,,,,,,,,
a,Kevin GutiérrezL,VOLMC,24,6974,,Jack Stacey,LDADD,25,7375,,Brandão Élton,ATA,36,74,,Orlando Berrío,ATA,31,74,,Leandro Barcia,ATA,29,74,,Jhoanner Chávez,LELDME,19,6373,,Omar Hawsawi,ZAG,36,71,,Murad Naji,MEI,30,68,,Takahiro Sekine,MDME,26,6767,,Hamdi Fathi,VOL,27,74,,Hamza Mathlouthi,LD,29,71,,Diney Borges,ZAG,27,70,,Michael Rangel,ATA,30,74,,Fabrício Bigode,LD,23,68,,,,,,,,,,,,
a,Tomás Cardona,ZAG,26,6974,,Ben Pearson,VOL,27,7375,,Osman Júnior,MEI,29,74,,Felipe Azevedo,ATA,35,74,,Santos Renan,GOL,32,72,,Alan Minda,MDME,18,6078,,Muhannad al Shanqeeti,VOL,22,70,,Mohamed Musa,ZAG,35,67,,D. Rolan Matsuo,SAME,24,6670,,Mohamed Magdy,MEI,25,74,,Abdallah Gomaa,MEI,26,71,,Mohamed Chibi,LD,29,70,,Juan Pablo Nieto,MEI,29,74,,Brayan Lucumí,VOL,28,68,,,,,,,,,,,,
a,Agustín FontanaL,ATA,25,6970,,Kieffer Moore,ATA,29,7373,,Gonçalves Marllon,ZAG,29,72,,Zé Ricardo,VOL,25,72,,Cardozo Shaylon,MEI,24,72,,Kleber Pinargote,GOL,18,5979,,Madallah al Olayan,LD,27,70,,Luiz Ceará,LE,33,67,,Takahiro Akimoto,LEME,24,6571,,Walid Soliman,MEI,37,74,,Mohamed Abdelghani,ZAG,28,70,,Reda Slim,MEI,22,70,,Yohandry Orozco,MEI,30,74,,Júnior Dida,GOL,33,67,,,,,,,,,,,,
a,Alexis SotoL,LEZAG,28,6969,,Lloyd Kelly,ZAGLE,23,7280,,Anderson Conceição,ZAG,32,72,,Juan Pablo Ramírez,MEI,24,72,,Oliveira Ronaldo,GOL,25,70,,Luis Mateo Ortíz,VOLLDZAG,22,5970,,Abdulaziz al Jebreen,VOL,31,70,,Karim Boudiaf,VOL,31,67,,Łukasik Hirano,VOL,25,6568,,Mohamed Sherif,ATA,26,73,,Mohamed Abdelshafi,LE,36,70,,Zakaria el Wardi,MEI,23,68,,Ánderson Plata,ATA,31,74,,Silva Maikinho,ATA,29,67,,,,,,,,,,,,
a,Gabriel Hachen,MCVOLATA,31,6868,,Mark Travers,GOL,22,7279,,Marcão Silva,VOL,31,72,,Bardella Rodolfo,ATA,29,72,,Léo Pereira,MEI,21,70,,Adrián Mejía,ATA,19,5873,,Abdulaziz al Bishi,MEI,27,70,,Mohammed Muntari,ATA,28,67,,Atsuki Ito,VOLMC,23,6368,,Salah Mohsen,ATA,23,72,,Razack Cissé,MEI,23,70,,Adam Ennaffati,ATA,27,68,,Leyvin Balanta,LE,31,73,,Gerley Souza,MEI,31,66,,,,,,,,,,,,
a,Hugo Silva,LDZAG,30,6767,,Chris Mepham,ZAGLDLE,24,7277,,Vinicius Marquinhos,MEI,25,72,,Henrique Almeida,ATA,30,72,,Arthur Henrique,MEI,27,69,,Joan López,GOL,20,5769,,Abdulrahman al Obud,ATA,26,70,,,,,0,,Ever Rodeiro Suzuki,GOL,19,6274,,Yasser Ibrahim,ZAG,29,71,,Omar el Said,ATA,31,69,,Noah Sadaoui,ATA,29,68,,Guillermo Celis,VOL,28,73,,Luis Ricardo,MEI,38,66,,,,,,,,,,,,
a,Lucas Albertengo,ATA,31,6767,,Junior Stanislas,PEMEPD,32,7272,,André Luis,ATA,24,72,,Cardoso Matheusinho,MEI,24,72,,Carvalho Ramon,VOL,24,68,,,,,,,Rakan al Najjar,GOL,26,57,,,,,0,,Ayumu Ohata,ZAGLE,20,6273,,Mahmoud Metwaly,ZAG,29,71,,Seifeddine Jaziri,MEI,29,69,,Brahim Sabaouni,VOL,27,67,,Anderson Angulo,ZAG,25,72,,Lúcio Flávio,ATA,35,66,,,,,,,,,,,,
a,Hugo Fernández,ME,24,6672,,Jamal Lowe,ATAPE,27,7172,,Igor Carius,LE,28,70,,Marcelo Toscano,ATA,36,72,,Gabriel Baralhas,MEI,23,68,,,,,,,Abdulmohsen Fallatah,ZAG,27,57,,,,,0,,Tomoaki Okubo,ME,23,6268,,Akram Tawfik,VOL,24,70,,Mohamed Awad,GOL,29,68,,Darren Smith,ATA,25,66,,William Parra,VOL,27,72,,Colares Julinho,LE,34,65,,,,,,,,,,,,
a,Tomás Escalante,MC,22,6570,,Emiliano Marcondes,MEIMC,26,7172,,Rafael Gava,VOL,28,70,,Matheus Cavichioli,GOL,35,70,,Wellington Rato,MEI,29,68,,,,,,,Mohammed al Oufi,LE,19,57,,,,,0,,Teikeu Miyamoto,VOLLD,22,5766,,Ali Lotfi,GOL,32,69,,Mohamed Ashraf Roqa,VOL,26,68,,Anouar Tarkhatt,ZAG,24,65,,Jonathan Marulanda,LD,26,72,,Pinto Tito,ATA,33,65,,,,,,,,,,,,
a,Tomás GalvánL,MEI,21,6474,,Robbie Brady,PDPEMD,30,7171,,João Pepê,MEI,24,70,,Ferreira Éder,VOL,36,70,,Barbosa Rickson,VOL,24,65,,,,,,,Awadh al Nashiri,VOL,29,57,,,,,0,,Kota Kudo,ZAG,18,5572,,Mahmoud Wahid,LE,27,68,,Mahmoud Shikabala,MEI,36,67,,Emmanuel Imanishimwe,LE,27,65,,Daniel Cataño,MEI,30,72,,Caio Mancha,ATA,29,65,,,,,,,,,,,,
a,Maximiliano Luayza,MC,19,6272,,Ethan LairdL,LDADD,20,7082,,Camilo Reijers,MEI,23,70,,Lucas Kal,VOL,25,70,,Luis Phelipe,MEI,21,64,,,,,,,Khaled al Samiri,VOL,25,57,,,,,0,,,,,,,Taher Mohamed,MEI,24,68,,Ahmed Eid,LD,21,65,,Thierry Manzi,ZAG,25,57,,Luis Miranda,ATA,24,72,,João Pedro,VOL,22,62,,,,,,,,,,,,
a,Kevin Lencina,ME,20,6070,,Jaidon Anthony,PEATA,22,6977,,Brito Jenison,ATA,30,70,,Egea Alê,MEI,31,70,,Alves Danilo,ZAG,20,59,,,,,,,Ahmed Bahusayn,MEI,21,57,,,,,0,,,,,,,Luís Miquissone,MEI,26,68,,,,,0,,,,,0,,Eduar Caicedo,ZAG,26,70,,Lima Maxwell,MEI,22,62,,,,,,,,,,,,
a,Lautaro Amadé,GOL,22,6068,,Siriki Dembélé,ATAPE,25,6974,,João Lucas,LD,23,68,,Lopes Pedrinho,MEI,22,70,,Siqueira Leonardo,GOL,25,57,,,,,,,,,,0,,,,,0,,,,,,,Karim Fouad,VOL,22,64,,,,,0,,,,,0,,Rodrigo Ureña,VOL,29,70,,Caio Martins,VOL,29,59,,,,,,,,,,,,
a,,,,,,Jordan David Ariel,LEADE,22,6876,,Felipe Marques,MEI,32,68,,Yan Sasse,MEI,24,70,,Custódio Michel,ZAG,21,57,,,,,,,,,,0,,,,,0,,,,,,,,,,0,,,,,0,,,,,0,,Álvaro Meléndez,MEI,25,70,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subtração,https://www.fifaindex.com/pt-br/team/111710/csd-defensa-y-justicia/,,,,,https://www.fifaindex.com/pt-br/team/1943/afc-bournemouth/,,,,,,,,,,,,,,,,,,,,https://www.fifaindex.com/pt-br/team/112908/independiente-del-valle/,,,,,,,,,,,,,,,https://www.fifaindex.com/pt-br/team/111575/urawa-reds/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Defensa y Justicia,,,,,Bournemouth,,,,,Cuiabá,,,,,América-MG,,,,,Atlético-GO,,,,,I. Del Valle,,,,,Al Jazira,,,,,Al Duhail,,,,,Urawa Red Diamonds,,,,,Al Ahly,,,,,Zamalek,,,,,Raja Casablanca,,,,,Tolima,,,,,Portuguesa,,,,,,,,,,,,,,,
,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,,Nome,Posições Preferidas,Idade,GER POT,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,,Nome,Posições Preferidas,Idade,GER POT,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,,Jogador,Pos,Idade,Overall,,,,,,,,,,,,
,Ezequiel Unsain,GOL,26,7578,,Mark Travers,GOL,22,7279,,Capeloza Walter,GOL,34,75,,Marcelino Jaílson,GOL,40,74,,Luan Polli,GOL,28,74,,Moisés Ramírez,GOL,21,6880,,Marcelo Grohe,GOL,35,77,,Saoud Mubarak,GOL,30,68,,Shusaku Nishikawa,GOL,35,6868,,Mohamed el Shenawy,GOL,33,75,,Mohamed Abou Gabal,GOL,33,75,,Anas Zniti,GOL,33,74,,Alexander Domínguez,GOL,34,75,,Vicente Paes,GOL,39,70,,,,,,,,,,,,
,Nicolás Tripichio,LDZAG,26,7073,,Jack Stacey,LDADD,25,7375,,João Carlos,GOL,33,74,,Matheus Cavichioli,GOL,35,70,,Santos Renan,GOL,32,72,,Richard Schunke,ZAG,30,7171,,Rakan al Najjar,GOL,26,57,,Toby Alderweireld,ZAG,33,83,,Hiroki Sakai,LDLEZAG,31,7474,,Ali Lotfi,GOL,32,69,,Mohamed Awad,GOL,29,68,,Marouane Hadhoudi,ZAG,30,72,,William Cuesta,GOL,29,67,,Júnior Dida,GOL,33,67,,,,,,,,,,,,
,Adonis Frías,ZAG,23,7379,,Gary Cahill,ZAG,36,7474,,Matheus Nogueira,GOL,24,62,,Moraes Airton,GOL,27,69,,Oliveira Ronaldo,GOL,25,70,,Luis Segovia,ZAGLE,24,6975,,Ahmed Hegazy,ZAG,31,77,,Mohamed Musa,ZAG,35,67,,Takuya Iwanami,ZAG,27,6970,,Mohamed Abdelmonem,ZAG,23,74,,Mahmoud Alaa,ZAG,31,75,,Ilias Haddad,ZAG,33,70,,José Moya,ZAG,29,74,,Flávio Boaventura,ZAG,34,74,,,,,,,,,,,,
,Nazareno Colombo,ZAG,22,6979,,Lloyd Kelly,ZAGLE,23,7280,,Melo Vinicius,GOL,22,62,,Santos Jori,GOL,25,68,,Siqueira Leonardo,GOL,25,57,,Alan Minda,MDME,18,6078,,Abdulmohsen Fallatah,ZAG,27,57,,Ahmad Yasser,ZAG,27,70,,Alexander Scholz,ZAG,29,7575,,Yasser Ibrahim,ZAG,29,71,,Mohamed Abdelghani,ZAG,28,70,,Badr Boulahroud,VOL,28,70,,Julián Quiñónes,ZAG,32,74,,Oliveira Naldo,ZAG,31,72,,,,,,,,,,,,
,Alexis SotoL,LEZAG,28,6969,,Jordan David Ariel,LEADE,22,6876,,Ribeiro Paulão,ZAG,36,75,,Germán Conti,ZAG,27,77,,Pereira Wanderson,ZAG,31,74,,Nicolás Previtali,VOLMC,26,6468,,Omar Hawsawi,ZAG,36,71,,Khalid Muftah,LE,29,70,,Takahiro Akimoto,LEME,24,6571,,Ayman Ashraf,ZAG,30,75,,Mahmoud Hamdy,ZAG,26,74,,Zakaria el Wardi,MEI,23,68,,Sérgio Mosquera,ZAG,28,74,,Gouvea Vinícius,ZAG,32,68,,,,,,,,,,,,
,Francisco Pizzini,MD,28,7575,,Jefferson Lerma,VOLMC,27,7577,,Gonçalves Marllon,ZAG,29,72,,Iago Maidana,ZAG,26,75,,Alves Danilo,ZAG,20,59,,Cristian Pellerano,VOLMC,40,7474,,Mohammed al Oufi,LE,19,57,,Luiz Ceará,LE,33,67,,Łukasik Hirano,VOL,25,6568,,Rami Rabia,ZAG,28,75,,Ahmed Fatouh,LE,23,74,,Mohsine Moutaouali,MEI,36,70,,Anderson Angulo,ZAG,25,72,,Dênis Neves,LE,31,70,,,,,,,,,,,,
,Gabriel Hachen,MCVOLATA,31,6868,,Todd CantwellL,PEMEMC,23,7580,,Anderson Conceição,ZAG,32,72,,Ricardo Silva,ZAG,29,69,,Custódio Michel,ZAG,21,57,,Jhoanner Chávez,LELDME,19,6373,,Ziyad al Sahafi,ZAG,27,72,,Ferjani Sassi,VOL,29,76,,Kai Shibato,VOLMC,26,6870,,Badr Benoun,ZAG,28,74,,Mohamed Abdelshafi,LE,36,70,,Youness Mokhtar,MEI,30,74,,Eduar Caicedo,ZAG,26,70,,Bruno Maia,LE,33,68,,,,,,,,,,,,
,Raúl Loaiza,VOLMC,27,7373,,Philip Billing,MCMEI,25,7579,,Alan Empereur,ZAG,27,74,,Zé Vitor,ZAG,21,65,,Menezes Ramon,ZAG,26,74,,Lorenzo Faravelli,MCVOLMEI,28,7474,,Muhannad al Shanqeeti,VOL,22,70,,Karim Boudiaf,VOL,31,67,,Takahiro Sekine,MDME,26,6767,,Mahmoud Metwaly,ZAG,29,71,,Tarek Hamed,VOL,33,74,,Beni Badibanga,MEI,26,72,,Jeison Angulo,LE,25,74,,Colares Julinho,LE,34,65,,,,,,,,,,,,
,Carlos Rotondi,MEPE,24,7275,,Ryan Christie,PDMC,27,7474,,Igor Carius,LE,28,70,,Luiz Flávio,ZAG,21,65,,Éder Ferreira,ZAG,26,74,,Junior Sornoza,MEI,28,7272,,Bruno Henrique,VOL,32,78,,Ismaeel Mohammed,VOL,31,68,,David Moberg Karlsson,SAPDATA,27,7272,,Karim Fouad,VOL,22,64,,Mohamed Ashraf Roqa,VOL,26,68,,Hamid Ahadad,ATA,27,70,,Leyvin Balanta,LE,31,73,,Gonçalves Graxa,VOL,28,68,,,,,,,,,,,,
,Walter Bou,ATASAMEI,28,7575,,Dominic Solanke,ATA,24,7478,,Silva Athirson,LE,19,57,,João Paulo,LE,35,74,,Junio Jefferson,LE,25,74,,Jonathan Bauman,ATA,30,7272,,Awadh al Nashiri,VOL,29,57,,Edmílson Junior,MEI,27,77,,Vidal Parreu Koizumi,MEIMC,25,6973,,Ali Maâloul,LE,32,76,,Hamza Mathlouthi,LD,29,71,,,,,0,,Fabian Mosquera,VOL,27,69,,João Pedro,VOL,22,62,,,,,,,,,,,,
,Miguel Ángel Merentiel,ATAMD,25,7073,,Jaidon Anthony,PEATA,22,6977,,Uillian Correia,VOL,32,74,,Matheus Marlon,LE,28,65,,Barbosa Rickson,VOL,24,65,,Stiven Plaza,ATA,22,6675,,Khaled al Samiri,VOL,25,57,,Michael Olunga,ATA,27,74,,Kasper Junker,ATA,27,7374,,Mahmoud Wahid,LE,27,68,,Ahmed Eid,LD,21,65,,,,,0,,Juan Ríos,VOL,30,74,,Fabrício Bigode,LD,23,68,,,,,,,,,,,,
,Gabriel AlanísL,MEADE,27,7171,,Lewis Cook,MCVOL,25,7478,,Marcão Silva,VOL,31,72,,Lucas Luan,LE,22,62,,Felipe Édson,LD,30,75,,Fernando Gaibor,MEIMCVOL,30,7070,,Madallah al Olayan,LD,27,70,,Mohammed Muntari,ATA,28,67,,Ataru Esaka,SAATAMEI,29,7171,,Amr el Solia,VOL,31,75,,Hazem Emam,MEI,33,72,,,,,0,,Guillermo Celis,VOL,28,73,,Caio Martins,VOL,29,59,,,,,,,,,,,,
,Kevin GutiérrezL,VOLMC,24,6974,,Ben Pearson,VOL,27,7375,,Rafael Gava,VOL,28,70,,Mendonça Gustavo,VOL,20,65,,Carvalho Ramon,VOL,24,68,,Beder Caicedo,LEME,29,7070,,Abdulaziz al Jebreen,VOL,31,70,,Murad Naji,MEI,30,68,,D. Rolan Matsuo,SAME,24,6670,,Aliou Dieng,VOL,24,74,,Mohammad Ounnajem,MEI,30,72,,Jogador,,Idade,Overall,,William Parra,VOL,27,72,,Brayan Lucumí,VOL,28,68,,,,,,,,,,,,
,Juan Gabriel Rodríguez,ZAG,27,7273,,Nathaniel PhillipsL,ZAG,24,7379,,Gabriel Pierini,VOL,21,65,,Zé Ricardo,VOL,25,72,,Luis Dudu,LD,24,74,,Kleber Pinargote,GOL,18,5979,,Abdulaziz al Bishi,MEI,27,70,,Tae-Hee Nam,MEI,30,75,,Tomoya Inukai,ZAG,28,6969,,Akram Tawfik,VOL,24,70,,Youssef Obama,MEI,26,73,,Ayoub Lakred,GOL,26,70,,Rodrigo Ureña,VOL,29,70,,Gerley Souza,MEI,31,66,,,,,,,,,,,,
,Hugo Silva,LDZAG,30,6767,,Ethan LairdL,LDADD,20,7082,,Melo Alexandre,LE,23,65,,Ferreira Éder,VOL,36,70,,Arthur Henrique,MEI,27,69,,Adrián Mejía,ATA,19,5873,,Hamdan al Shamrani,MEI,25,72,,Ali Afif,ATA,34,72,,Ever Rodeiro Suzuki,GOL,19,6274,,Hamdi Fathi,VOL,27,74,,Mahmoud Shikabala,MEI,36,67,,Thierry Manzi,ZAG,25,57,,Cristian Trujillo,VOL,23,69,,Luis Ricardo,MEI,38,66,,,,,,,,,,,,
,Lautaro Amadé,GOL,22,6068,,Freddie WoodmanL,GOL,24,7481,,João Lucas,LD,23,68,,Lucas Kal,VOL,25,70,,Marlon Freitas,MEI,26,75,,Luis Mateo Ortíz,VOLLDZAG,22,5970,,Ahmed Bahusayn,MEI,21,57,,Almoez Ali,ATA,25,74,,Ken IwaoL,VOL,33,6969,,Mohamed Hany,LD,25,75,,Abdallah Gomaa,MEI,26,71,,Anouar Tarkhatt,ZAG,24,65,,Juan Angulo,LD,33,74,,Lima Maxwell,MEI,22,62,,,,,,,,,,,,
,Agustín FontanaL,ATA,25,6970,,Kieffer Moore,ATA,29,7373,,Gonçalves Uendel,MEI,33,75,,Adilson Juninho,LD,34,74,,Gabriel Baralhas,MEI,23,68,,Joan López,GOL,20,5769,,André André,MEI,32,78,,,,,0,,Atsuki Ito,VOLMC,23,6368,,Mohamed Magdy,MEI,25,74,,Ahmed Zizo,MEI,26,75,,Emmanuel Imanishimwe,LE,27,65,,Jonathan Marulanda,LD,26,72,,Roger Gaúcho,MEI,35,70,,,,,,,,,,,,
,Lucas Albertengo,ATA,31,6767,,Siriki Dembélé,ATAPE,25,6974,,João Pepê,MEI,24,70,,Patric Lalau,LD,32,75,,Wellington Rato,MEI,29,68,,,,,,,Igor Coronado,MEI,29,75,,,,,0,,Ayumu Ohata,ZAGLE,20,6273,,Taher Mohamed,MEI,24,68,,Emam Ashour,MEI,24,72,,Diney Borges,ZAG,27,70,,Léider Riascos,LD,21,67,,Wilmar Jordán,ATA,31,70,,,,,,,,,,,,
,Tomás Cardona,ZAG,26,6974,,Adam Smith,LDADDLE,30,7474,,Camilo Reijers,MEI,23,70,,Raúl Cáceres,LD,30,74,,Léo Pereira,MEI,21,70,,,,,,,Abderrazak Hamdallah,MEI,31,75,,,,,0,,Tomoaki Okubo,ME,23,6268,,Luís Miquissone,MEI,26,68,,Omar el Said,ATA,31,69,,Brahim Sabaouni,VOL,27,67,,Junior Hernández,MEI,22,68,,Silva Maikinho,ATA,29,67,,,,,,,,,,,,
,Hugo Fernández,ME,24,6672,,Jamal Lowe,ATAPE,27,7172,,Kelvin Osorio,MEI,28,74,,Diego Ferreira,LD,26,69,,Xavier Jorginho,MEI,31,74,,,,,,,Haroune Camara,ATA,24,72,,,,,0,,Teikeu Miyamoto,VOLLD,22,5766,,Walid Soliman,MEI,37,74,,Seifeddine Jaziri,MEI,29,69,,Mohamed Chibi,LD,29,70,,Juan José Rubiano,MEI,20,59,,Pinto Tito,ATA,33,65,,,,,,,,,,,,
,Tomás Escalante,MC,22,6570,,Gavin Kilkenny,VOLMC,22,6675,,Souza André,ATA,31,75,,Carlos Eduardo,VOL,35,74,,Cardozo Shaylon,MEI,24,72,,,,,,,Silva Romarinho,ATA,31,77,,,,,0,,Kota Kudo,ZAG,18,5572,,Hussein el Shahat,MEI,29,75,,Razack Cissé,MEI,23,70,,Mounir el Allouchi,MEI,27,72,,Brayan Rovira,MEI,25,74,,Caio Mancha,ATA,29,65,,,,,,,,,,,,
,Tomás GalvánL,MEI,21,6474,,Emiliano Marcondes,MEIMC,26,7172,,Brandão Élton,ATA,36,74,,Juninho Valoura,MEI,35,75,,Brian Montenegro,ATA,28,74,,,,,,,Fahad al Muwallad,ATA,27,74,,,,,0,,,,,,,Mohamed Sherif,ATA,26,73,,Achraf Bencharki,ATA,27,75,,Reda Slim,MEI,22,70,,Álvaro Meléndez,MEI,25,70,,Lúcio Flávio,ATA,35,66,,,,,,,,,,,,
,Maximiliano Luayza,MC,19,6272,,Chris Mepham,ZAGLDLE,24,7277,,Brito Jenison,ATA,30,70,,Juan Pablo Ramírez,MEI,24,72,,Luis Phelipe,MEI,21,64,,,,,,,Abdulrahman al Obud,ATA,26,70,,,,,0,,,,,,,Salah Mohsen,ATA,23,72,,,,,0,,Adam Ennaffati,ATA,27,68,,Jeison Lucumi,MEI,26,74,,Anderson Lessa,ATA,32,70,,,,,,,,,,,,
