a,Ivan Šunjić,VOLMC,25,7073,,Sam Gallagher,ATAPEPD,26,7071,,Charlie Taylor,LE,28,7676,,Alexis Mac Allister,MEIMC,22,7582,,Ravel Morrison,MEIMC,28,6969,,Jean Michaël Seri,VOLMC,30,7474,,Matt Smith,VOL,22,6777,,Marc Bola,ADELE,24,7075,,Christos Tzolis,MEMDATA,19,7487,,João Carvalho,MEI,24,7076,,Sam McCallumL,ADELE,21,7080,,Danny DrinkwaterL,VOLMC,31,7171,,John Fleck,MCVOL,30,7373,,Leo ØstigårdL,ZAG,22,7080,,Kyle Naughton,ZAGADDLD,33,7070,,Danny Rose,LE,31,7575,
a,Ryan Woods,VOLMC,28,7071,,Tyrhys Dolan,PDATA,19,6982,,Connor Roberts,LDADD,26,7578,,Enock Mwepu,MCVOLMEI,23,7581,,David Marshall,GOL,36,6969,,Bobby Decordova-Reid,MDMEI,28,7474,,Joshua Emmanuel,LDMD,24,6773,,Anfernee Dijksteel,ADDLDZAG,25,7075,,Brandon WilliamsL,LELD,21,7479,,Lewis Grabban,ATA,33,7070,,Jordy Elikia,ZAG,26,7073,,Andy Carroll,ATA,32,7171,,Jayden Bogle,LDADD,21,7282,,Danny Batth,ZAG,31,7070,,Liam Walsh,MCVOL,24,6976,,Christian Kabasele,ZAG,30,7575,
a,Marc Roberts,ZAG,31,7070,,Ian PovedaL,PDMD,21,6980,,Jóhann Berg Guðmundsson,MDME,31,7575,,Solly March,ADEPDMD,27,7576,,Louie Sibley,MEIMD,20,6879,,Joe Bryan,LEADE,28,7474,,Matt Ingram,GOL,28,6771,,Souleymane Bamba,ZAG,36,7070,,Dimitris Giannoulis,LEADE,26,7477,,Joe Lolley,PDPEMEI,29,7070,,Jimmy Dunne,ZAG,24,6974,,Michael Morrison,ZAG,33,7171,,Morgan Gibbs-WhiteL,MEIMDMC,21,7281,,James Chester,ZAG,32,7070,,Korey Smith,MCVOL,30,6969,,Adam Masina,LE,27,7475,
a,Jordan Graham,MDADD,26,6970,,Jan Paul JezL,ZAG,21,6979,,Jack Cork,VOLMC,32,7575,,Adam Lallana,MCMEI,33,7575,,Lee Buchanan,LEADE,20,6878,,Antonee Robinson,LEADE,24,7378,,George Moncur,MEIMCME,28,6767,,Matt Crooks,MCMEIATA,27,7070,,Kenny McLean,MCVOL,29,7373,,James GarnerL,VOLMC,20,6982,,Albert Adomah,MDADD,34,6969,,Alen Halilović,MEIMD,25,7074,,Jack Robinson,ZAGLE,28,7273,,Joe Allen,MCVOL,31,7070,,Michael Obafemi,ATA,21,6879,,Tom Cleverley,MCMEI,32,7474,
a,George Friend,ZAGLEADE,34,6969,,Harry Pickering,LEADE,22,6975,,Jay Rodriguez,ATA,32,7474,,Dan Burn,ZAGLE,29,7575,,Craig Forsyth,LEZAG,32,6868,,Ivan Cavaleiro,MEPEATA,28,7373,,Ryan LongmanL,MDMEATA,21,6676,,Jonny Howson,MCVOLZAG,33,7070,,Lukas Rupp,MCVOL,30,7373,,Mohamed Dräger,ADDLD,25,6974,,Moses Odubajo,ADDLDADE,28,6969,,Luke Southwood,GOL,24,6976,,Ben Osborn,MEADEMC,27,7272,,Steven Fletcher,ATA,34,7070,,Flynn Downes,VOLMC,22,6775,,William Troost-Ekong,ZAG,28,7375,
a,Scott Hogan,ATA,29,6969,,Bradley Johnson,VOLMC,34,6969,,Ashley Barnes,ATA,32,7474,,Tariq Lamptey,ADDLDMD,21,7484,,Richard Stearman,ZAG,34,6868,,Fabricio,GOL,33,7373,,Nathan Baxter,GOL,23,6674,,Grant Hall,ZAG,30,6969,,Sam Byram,LELD,28,7373,,Tobias Figueiredo,ZAG,27,6970,,Dominic Ball,VOLMC,26,6872,,Liam Moore,ZAG,28,6969,,Billy Sharp,ATA,35,7272,,Josh Tymon,ADELEME,22,6977,,Quaner Dhanda,MEIMC,23,6774,,Ken Sema,MEPEADE,28,7373,
a,Lukas Jutkiewicz,ATA,32,6969,,Scott Wharton,ZAG,24,6774,,Erik Pieters,LEME,33,7474,,Jakub Moder,MCMEVOL,22,7483,,Ryan Allsop,GOL,29,6868,,Neeskens Kebano,MEPE,29,7272,,Randell Williams,MD,24,6672,,Neil Taylor,ADELE,32,6969,,Billy GilmourL,MCVOL,20,7286,,Cafú,VOLMEI,28,6969,,Luke Amos,VOLMCMEI,24,6775,,Rafael,GOL,31,6969,,David McGoldrick,ATA,34,7272,,Morgan Fox,ADELEZAG,28,6969,,Ben Hamer,GOL,34,6767,,Francisco Sierralta,ZAG,24,7278,
a,Gary Gardner,MC,29,6969,,Jacob Davenport,VOLMC,22,6676,,Wayne Hennessey,GOL,34,7474,,Shane Duffy,ZAG,29,7474,,Colin Kazim-Richards,ATA,35,6868,,Domingos QuinaL,MEIMCME,22,7181,,Richard Smallwood,VOL,30,6666,,Luke Daniels,GOL,33,6868,,Angus Gunn,GOL,25,7276,,Lyle Taylor,ATA,31,6969,,Sam Field,MCVOL,23,6775,,Tom McIntyre,ZAGLEVOL,23,6876,,George Baldock,LDADD,28,7272,,Ben Wilmot,ZAG,22,6880,,Rhys WilliamsL,ZAG,20,6581,,Oghenekaro EteboL,MCVOL,26,7275,
a,Chuks Aneke,ATA,28,6767,,Joe Rankin-Costello,LDLE,22,6676,,Matěj Vydra,SAATA,29,7373,,Danny Welbeck,ATAPEME,31,7373,,Sam Baldock,ATA,32,6666,,Michael Hector,ZAG,29,7172,,Alfie Jones,ZAGVOL,24,6574,,Duncan Watmore,ATAMD,27,6868,,Ben Gibson,ZAG,28,7273,,Braian Ojeda,MCVOL,21,6880,,Andre Dozzell,MCVOL,22,6774,,Tom Dele-BashiruL,MCMDME,22,6776,,Oli McBurnie,ATA,25,7175,,Josef Bursik,GOL,21,6879,,Joel Latibeaudiere,ZAGLD,21,6574,,Craig Cathcart,ZAGLD,32,7272,
a,Dion SandersonL,ZAGLD,22,6679,,Tayo Edun,LEMC,23,6674,,Aaron Lennon,MDME,34,7373,,Tudor Băluță,VOLMC,22,7182,,Festy Ebosele,LDMDME,19,6276,,Anthony Knockaert,MDPD,30,7171,,Andy Cannon,MCMEI,25,6570,,Lee Peltier,ZAGLD,35,6868,,Josh Sargent,ATAPD,21,7182,,Djed SpenceL,ADDLDMD,21,6879,,Osman Kakay,ADDLDZAG,24,6772,,Tom Holmes,ZAGLD,21,6776,,Lys Mousset,ATA,25,7074,,Jacob Brown,ATAMD,23,6874,,Steven Benda,GOL,23,6572,,João Pedro,ATA,20,7184,
a,Juan Familia-Castillo,LEMC,21,6676,,Aynsley Pears,GOL,23,6574,,Dale Stephens,VOLMC,32,7373,,Steven Alzate,MCMEIME,23,7079,,Louie Watson,MEIME,20,6274,,Cyrus Christie,LDADD,29,7171,,Tom Eaves,ATA,30,6565,,Marcus Browne,MEMD,24,6773,,Kieran Dowell,MEIME,24,7176,,Gaëtan Bong,ADELE,33,6868,,Lee Wallace,ADELE,34,6767,,George Pușcaș,ATA,25,6771,,Wes Foderingham,GOL,30,7070,,Tom Ince,MDPDATA,29,6868,,Liam Cullen,ATA,22,6474,,Dan Gosling,MC,31,7171,
a,Matija ŠarkićL,GOL,24,6672,,Hayden Carter,ZAGLD,22,6573,,Nathan Collins,ZAGLD,20,7182,,Aaron Connolly,ATA,21,7077,,Isaac Hutchinson,MCMEIMD,21,6270,,Terence Kongolo,ZAGLE,27,7073,,Sean McLoughlin,ZAG,25,6469,,Joe Lumley,GOL,26,6771,,Christoph Abdelkahar,ZAG,28,7171,,Alex Mighten,PEME,19,6781,,Jordan Archer,GOL,28,6668,,Felipe Araruna,LDVOL,25,6669,,Luke Freeman,MEMEI,29,7070,,Sam Surridge,ATA,23,6775,,Brandon Cooper,ZAG,21,6273,,Jeremy Ngakia,LDADD,21,7081,
a,Connal Trueman,GOL,25,6569,,Daniel Butterworth,ATAMEIPE,22,6475,,Phil Bardsley,LD,36,7171,,Jürgen Locadia,ATAPEME,28,7070,,Liam Thompson,MCVOL,19,6175,,Alfie Mawson,ZAG,27,7072,,Brandon Fleming,LEME,22,6269,,Dejan Stojanović,GOL,28,6768,,Jacob Sørensen,LEMCVOL,23,7076,,Jordan Smith,GOL,27,6769,,George Thomas,MEIMD,24,6369,,Dejan Tetek,VOLMCLD,19,6477,,Rhian Brewster,ATA,21,6980,,Jordan Thompson,MCVOL,24,6772,,Morgan Whittaker,PDATA,20,6175,,Daniel Bachmann,GOL,27,7073,
a,Nico Gordon,ZAGLD,19,5871,,Antonis Stergiakis,GOL,22,6474,,Kevin Long,ZAG,31,7171,,Kjell Scherpen,GOL,21,6981,,Dylan Williams,LEADE,18,6076,,Tim Ream,ZAG,34,7070,,Tyler Smith,ATA,23,6170,,Uche Ikpeazu,ATA,26,6668,,Przemysław Płacheta,ME,23,6977,,Carl Jenkinson,ADDLD,29,6767,,Charlie Kelman,ATA,20,6177,,Femi Azeez,MDATA,20,6477,,Michael Verrips,GOL,25,6975,,Alfie Doughty,ADELE,21,6676,,Daniel Williams,MCVOL,20,5771,,Ashley Fletcher,ATA,26,6972,
a,Marcel Oakley,ADDLD,19,5672,,Leighton ClarksonL,MCMEIVOL,20,6378,,Will Norris,GOL,28,6567,,Taylor Richards,MEIMC,21,6678,,Jack Stretton,ATA,20,6072,,Denis Odoi,LDZAG,33,7070,,Harvey Cartwright,GOL,19,5671,,Isaiah Jones,MEMDADD,22,6474,,Andrew Omobamidele,ZAG,19,6781,,Loïc Mbe Soh,ZAG,20,6676,,Charlie Owens,MCMEI,24,6167,,Ethan Bristow,LEADEME,20,6074,,Rhys Norrington-Davies,LEADE,22,6876,,Jack Bonham,GOL,28,6567,,Tivonge Rushesha,ADDLD,19,5674,,Rob Elliot,GOL,35,6868,
a,Keyendrah Simmonds,ATAMEMD,20,5671,,Reda Khadra,PDPEMEI,20,6377,,Anthony Glennon,LE,22,6270,,Jason Steele,GOL,31,6565,,Kornell McDonald,LDADD,20,5868,,Fabio Carvalho,MEIMC,19,6986,,Tom Nixon,LDMD,19,5369,,Nathan Wood,ZAG,19,6280,,Adam Idah,ATA,20,6779,,Jordi Osei-TutuL,ADDMDLD,23,6675,,Dillon Barnes,GOL,25,6167,,Coniah Boyce-Clarke,GOL,18,5981,,Oliver Burke,ATAMD,24,6772,,Tashan Oakley-Boothe,MCMEIVOL,21,6376,,Lewis Webb,GOL,20,5470,,Kwadwo Baah,MEMD,18,6080,
,https://www.fifaindex.com/pt-br/team/88/birmingham-city/,,,,,https://www.fifaindex.com/pt-br/team/3/blackburn-rovers/,,,,,https://www.fifaindex.com/pt-br/team/1796/burnley/,,,,,https://www.fifaindex.com/pt-br/team/1808/brighton-hove-albion/,,,,,https://www.fifaindex.com/pt-br/team/91/derby-county/,,,,,https://www.fifaindex.com/pt-br/team/144/fulham/,,,,,https://www.fifaindex.com/pt-br/team/1952/hull-city/,,,,,https://www.fifaindex.com/pt-br/team/12/middlesbrough/,,,,,https://www.fifaindex.com/pt-br/team/1792/norwich-city/,,,,,https://www.fifaindex.com/pt-br/team/14/nottingham-forest/,,,,,https://www.fifaindex.com/pt-br/team/15/queens-park-rangers/,,,,,https://www.fifaindex.com/pt-br/team/1793/reading/,,,,,https://www.fifaindex.com/pt-br/team/1794/sheffield-united/,,,,,https://www.fifaindex.com/pt-br/team/1806/stoke-city/,,,,,https://www.fifaindex.com/pt-br/team/1960/swansea-city/,,,,,https://www.fifaindex.com/pt-br/team/1795/watford/,,,,
,Birmigham,,,,,Blackburn,,,,,Burnley,,,,,Brighton,,,,,Derby Count,,,,,Fulham,,,,,Hull City,,,,,Middlesbrough,,,,,Norwich,,,,,Nottingham Forest,,,,,QPR,,,,,Reading,,,,,Sheffield United,,,,,Stoke City,,,,,Swansea,,,,,Watford,,,,
,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,Nice:,Nome,Posições Preferidas,Idade,GER POT,Bordeaux:,Nome,Posições Preferidas,Idade,GER POT,Lille,Nome,Posições Preferidas,Idade,GER POT,Saint Ettienne:,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,,Nome,Posições Preferidas,Idade,GER POT,Real Betis
,Matija ŠarkićL,GOL,24,6672,,Thomas Kaminski,GOL,29,7374,,Nick Pope,GOL,29,8282,,Robert Sanchéz,GOL,24,7783,,Kelle Roos,GOL,29,7070,,Marek Rodák,GOL,25,7480,,Nathan Baxter,GOL,23,6674,,Luke Daniels,GOL,33,6868,,Tim Krul,GOL,33,7777,,Brice Samba,GOL,27,7376,,Seny Dieng,GOL,27,7275,,Luke Southwood,GOL,24,6976,,Wes Foderingham,GOL,30,7070,,Adam Davies,GOL,29,7173,,Ben Hamer,GOL,34,6767,,Daniel Bachmann,GOL,27,7073,
,Jordan Graham,MDADD,26,6970,,Ryan Nyambe,LDADD,24,7278,,Matthew Lowton,LD,32,7676,,Joël Veltman,ADDZAGLD,29,7777,,Nathan Byrne,LDADD,29,7171,,Kenny Tete,LD,26,7578,,Di'Shon BernardL,ZAGLD,21,6780,,Isaiah Jones,MEMDADD,22,6474,,Max Aarons,LD,21,7583,,Djed SpenceL,ADDLDMD,21,6879,,Albert Adomah,MDADD,34,6969,,Andy MJ,LDADDZAG,30,7373,,Jayden Bogle,LDADD,21,7282,,Tommy Smith,ADDLD,29,7171,,Ethan LairdL,ADD,20,7082,,Kiko Femenía,LDLE,30,7575,
,Dion SandersonL,ZAGLD,22,6679,,Darragh Lenihan,ZAG,27,7275,,James Tarkowski,ZAG,29,8081,,Adam Webster,ZAG,26,7680,,Curtis Davies,ZAG,36,7070,,Tosin Adarabioyo,ZAG,24,7482,,Sean McLoughlin,ZAG,25,6469,,Paddy McNair,ZAGVOLMC,26,7277,,Grant Hanley,ZAG,30,7575,,Joe Worrall,ZAG,24,7278,,Rob Dickie,ZAG,25,7377,,Liam Moore,ZAG,28,6969,,John Egan,ZAG,29,7576,,Ben Wilmot,ZAG,22,6880,,Ryan Bennett,ZAG,31,7171,,Craig Cathcart,ZAGLD,32,7272,
,Marc Roberts,ZAG,31,7070,,Daniel Ayala,ZAG,31,7171,,Ben Mee,ZAG,32,7979,,Lewis Dunk,ZAG,30,7979,,Craig Forsyth,LEZAG,32,6868,,Tim Ream,ZAG,34,7070,,Jacob Greaves,ZAG,21,6877,,Souleymane Bamba,ZAG,36,7070,,Ben Gibson,ZAG,28,7273,,Tobias Figueiredo,ZAG,27,6970,,Jimmy Dunne,ZAG,24,6974,,Baba RahmanL,LEADE,27,7374,,Ben DaviesL,ZAG,26,7376,,Danny Batth,ZAG,31,7070,,Kyle Naughton,ZAGADDLD,33,7070,,William Troost-Ekong,ZAG,28,7375,
,George Friend,ZAGLEADE,34,6969,,Harry Pickering,LEADE,22,6975,,Charlie Taylor,LE,28,7676,,Cucurella,ADEMELE,23,8187,,Max Bird,VOLMC,21,7078,,Antonee Robinson,LEADE,24,7378,,Richard Smallwood,VOL,30,6666,,Dael Fry,ZAG,24,7379,,Brandon WilliamsL,LELD,21,7479,,Scott McKenna,ZAG,25,7077,,McMann Barbet,ZAG,28,7172,,Danny DrinkwaterL,VOLMC,31,7171,,Enda Stevens,LEADE,31,7373,,James Chester,ZAG,32,7070,,Ryan Manning,ADELEZAG,25,7276,,Adam Masina,LE,27,7475,
,Jérémie Bela,MEADEMD,28,7272,,Lewis Travis,VOLMC,24,7280,,Jóhann Berg Guðmundsson,MDME,31,7575,,Pascal Groß,MCMDMEI,30,7777,,Graeme Shinnie,VOLMC,30,7171,,Jean Michaël Seri,VOLMC,30,7474,,Ryan LongmanL,MDMEATA,21,6676,,Marc Bola,ADELE,24,7075,,Mathias Normann,VOLMC,25,7682,,Gaëtan Bong,ADELE,33,6868,,Lee Wallace,ADELE,34,6767,,Alen Halilović,MEIMD,25,7074,,Oliver Norwood,VOLMC,30,7373,,Josh Tymon,ADELEME,22,6977,,Jake Bidwell,ADELE,28,7272,,Ismaïla Sarr,MDPDATA,23,7785,
,Ryan Woods,VOLMC,28,7071,,John Buckley,MCMEI,22,7079,,Ashley Westwood,VOLMC,31,7878,,Jakub Moder,MCMEVOL,22,7483,,Jason Knight,MCMD,20,6978,,Harrison Reed,VOLMC,26,7579,,George Honeyman,MEIMC,27,7071,,Matt Crooks,MCMEIATA,27,7070,,Josh Sargent,ATAPD,21,7182,,Ryan Arboleda,VOLMC,24,7078,,Andre Dozzell,MCVOL,22,6774,,Josh Laurent,VOLMCZAG,26,7174,,John Fleck,MCVOL,30,7373,,Romaine SawyersL,MCVOL,30,7272,,Flynn Downes,VOLMC,22,6775,,Tom Cleverley,MCMEI,32,7474,
,Ivan Šunjić,VOLMC,25,7073,,Joe Rothwell,MCMEI,26,7172,,Josh Brownhill,MCMD,26,7679,,Tariq Lamptey,ADDLDMD,21,7484,,Tom Lawrence,MEATAMEI,27,7171,,Harry Wilson,MDPDMEI,24,7681,,Greg Docherty,VOLMC,25,6973,,Jonny Howson,MCVOLZAG,33,7070,,Billy GilmourL,MCVOL,20,7286,,Jack Colback,VOLMC,32,6666,,Stefan Johansen,MCVOL,30,7272,,John Swift,MEIMC,26,7578,,Morgan Gibbs-WhiteL,MEIMDMC,21,7281,,Joe Allen,MCVOL,31,7070,,Matt Grimes,MCVOL,26,7476,,Moussa Sissoko,VOLMC,32,7878,
,Riley McGree,MCMDMEI,23,7077,,Tyrhys Dolan,PDATA,19,6982,,Dwight McNeil,MEMD,22,7783,,Leandro Trossard,MEATAMEI,27,7878,,Ravel Morrison,MEIMC,28,6969,,Neeskens Kebano,MEPE,29,7272,,Keane Lewis-Potter,MEPE,20,6979,,Marcus Tavernier,MDMEIMC,22,7180,,Kenny McLean,MCVOL,29,7373,,Brennan Johnson,PDPEMEI,20,7082,,Ilias Chair,MEIMC,24,7177,,Tom Dele-BashiruL,MCMDME,22,6776,,Ben Osborn,MEADEMC,27,7272,,Mario Vrančić,MEIMCVOL,32,7272,,Joël Piroe,ATA,22,7078,,Emmanuel Dennis,ATAPEME,24,7580,
,Troy Deeney,ATA,33,7373,,Sam Gallagher,ATAPEPD,26,7071,,Chris Wood,ATA,30,7878,,Adam Lallana,MCMEI,33,7575,,Sam Baldock,ATA,32,6666,,Fabio Carvalho,MEIMC,19,6986,,Mallik Wilks,MDPDATA,23,6977,,Andraž ŠporarL,ATA,27,7475,,Milot Rashica,SAMEMD,25,7681,,Lewis Grabban,ATA,33,7070,,Lyndon Dykes,ATA,26,7173,,Andy Carroll,ATA,32,7171,,Iliman Ndiaye,MEIATA,21,6575,,Steven Fletcher,ATA,34,7070,,Jamie Paterson,PEMCMEI,30,7272,,Joshua King,ATAME,29,7575,
,Scott Hogan,ATA,29,6969,,Ben Brereton Díaz,ATAPEPD,22,7381,,Maxwel Cornet,MELESA,25,7780,,Neal Maupay,ATA,25,7782,,Kamil Jóźwiak,MEMDADD,23,6976,,Aleksandar Mitrović,ATA,27,7677,,Josh Magennis,ATA,31,6868,,Duncan Watmore,ATAMD,27,6868,,Teemu Pukki,ATA,31,7676,,Philip KruthL,PDPEMC,27,7575,,Chris Willock,MDATA,23,7277,,Junior Hoilett,MEMDATA,31,7272,,Billy Sharp,ATA,35,7272,,Jacob Brown,ATAMD,23,6874,,Jay Fulton,VOLMC,27,7173,,João Pedro,ATA,20,7184,
,Jordan James,MC,17,5272,,Bradley Johnson,VOLMC,34,6969,,Jay Rodriguez,ATA,32,7474,,Danny Welbeck,ATAPEME,31,7373,,Richard Stearman,ZAG,34,6868,,Bobby Decordova-Reid,MDMEI,28,7474,,George Moncur,MEIMCME,28,6767,,Martín Payero,MC,23,7279,,Pierre Lees-Melou,MC,28,7676,,Alex Mighten,PEME,19,6781,,Dominic Ball,VOLMC,26,6872,,Ovie Ejaria,MEMCMEI,24,7277,,Sander Berge,VOLMC,23,7682,,Abdallah SimaL,MDATA,20,7386,,Korey Smith,MCVOL,30,6969,,Danny Rose,LE,31,7575,
,Kristian Pedersen,ZAGLEADE,27,7273,,Jan Paul JezL,ZAG,21,6979,,Ashley Barnes,ATA,32,7474,,Steven Alzate,MCMEIME,23,7079,,Lee Buchanan,LEADE,20,6878,,Nathaniel Chalobah,VOLMC,27,7476,,Andy Cannon,MCMEI,25,6570,,Onel HernándezL,MEADE,28,7171,,Christos Tzolis,MEMDATA,19,7487,,Cafú,VOLMEI,28,6969,,Luke Amos,VOLMCMEI,24,6775,,Dejan Tetek,VOLMCLD,19,6477,,Conor HourihaneL,MCVOL,30,7474,,Sam Clucas,MCVOL,31,7272,,Ben Cabango,ZAG,21,7282,,Jeremy Ngakia,LDADD,21,7081,
,Harlee Dean,ZAG,30,7171,,Scott Wharton,ZAG,24,6774,,Matěj Vydra,SAATA,29,7373,,Solly March,ADEPDMD,27,7576,,Festy Ebosele,LDMDME,19,6276,,Joe Bryan,LEADE,28,7474,,Callum Elder,LEZAG,26,6971,,Anfernee Dijksteel,ADDLDZAG,25,7075,,Lukas Rupp,MCVOL,30,7373,,James GarnerL,VOLMC,20,6982,,Jordy Elikia,ZAG,26,7073,,Tom Holmes,ZAGLD,21,6776,,Chris Basham,ZAG,33,7474,,Jordan Thompson,MCVOL,24,6772,,Joel Latibeaudiere,ZAGLD,21,6574,,Ben Foster,GOL,38,7878,
