a,Toco,ZAG,30,66,Brazil,wiki/missing_player.jpg,,Bruno Leonardo13,ZAG,30,70,Brazil,wiki/missing_player.jpg,,Luiz Paulo,ZAG,30,70,Brazil,wiki/missing_player.jpg,,Renatinho,ZAG,30,70,Brazil,wiki/missing_player.jpg,,Carlinhos,ZAG,30,70,Brazil,wiki/missing_player.jpg,,David,ZAG,30,70,Brazil,wiki/missing_player.jpg,,Mulambo,ZAG,30,70,Brazil,wiki/missing_player.jpg,,Rodolfo,ZAG,30,70,Brazil,wiki/missing_player.jpg,,Moisés,ZAG,30,70,Brazil,wiki/missing_player.jpg,,Jonatan Machuca,ZAG,30,70,Brazil,wiki/missing_player.jpg,,Carlinhos,ZAG,30,70,Brazil,wiki/missing_player.jpg
a,Gladyson,ZAG,22,60,Brazil,wiki/missing_player.jpg,,Patrick Vieira,ZAG,22,60,Brazil,wiki/missing_player.jpg,,Ailton Santos,ZAG,22,60,Brazil,wiki/missing_player.jpg,,Valdivia,ZAG,22,60,Brazil,wiki/missing_player.jpg,,Leandro Cruz,ZAG,22,60,Brazil,wiki/missing_player.jpg,,Marlos,ZAG,22,60,Brazil,wiki/missing_player.jpg,,Padoca,ZAG,22,60,Brazil,wiki/missing_player.jpg,,Bruno Aguiar,ZAG,22,60,Brazil,wiki/missing_player.jpg,,Magno Souza Da Silva,ZAG,22,60,Brazil,wiki/missing_player.jpg,,Bruno Camargo,ZAG,22,60,Brazil,wiki/missing_player.jpg,,Joelson Amorim Guedes,ZAG,22,60,Brazil,wiki/missing_player.jpg
a,Glaudivan,VOL,28,68,Brazil,wiki/missing_player.jpg,,Julio Rusch,VOL,28,68,Brazil,wiki/missing_player.jpg,,Wellington Silva,VOL,28,68,Brazil,wiki/missing_player.jpg,,Renan Rabello,VOL,28,68,Brazil,wiki/missing_player.jpg,,Bruno Reis,VOL,28,68,Brazil,wiki/missing_player.jpg,,Paulo Roberto de Jesus Boaventura,VOL,28,68,Brazil,wiki/missing_player.jpg,,Dentinho,VOL,28,68,Brazil,wiki/missing_player.jpg,,Danrlei,VOL,28,68,Brazil,wiki/missing_player.jpg,,Juninho Silva,VOL,28,68,Brazil,wiki/missing_player.jpg,,José Bassan,VOL,28,68,Brazil,wiki/missing_player.jpg,,Tavinho,VOL,28,68,Brazil,wiki/missing_player.jpg
a,Riquelme,VOL,24,65,Brazil,wiki/missing_player.jpg,,Evandro,VOL,24,65,Brazil,wiki/missing_player.jpg,,Iury,VOL,24,65,Brazil,wiki/missing_player.jpg,,João Victor,VOL,24,65,Brazil,wiki/missing_player.jpg,,Fabinho Capixaba,VOL,24,65,Brazil,wiki/missing_player.jpg,,João Douglas Araújo da Silva,VOL,24,65,Brazil,wiki/missing_player.jpg,,Zoiudo,VOL,24,65,Brazil,wiki/missing_player.jpg,,Mario Sérgio,VOL,24,65,Brazil,wiki/missing_player.jpg,,Patrick dos Santos Silva,VOL,24,65,Brazil,wiki/missing_player.jpg,,Carlos Eduardo,VOL,24,65,Brazil,wiki/missing_player.jpg,,Dudé,VOL,24,65,Brazil,wiki/missing_player.jpg
a,Alisson Moreira,MC,20,58,Brazil,wiki/missing_player.jpg,,Lucas Lima,MC,20,58,Brazil,wiki/missing_player.jpg,,Júlio Amorim,MC,20,58,Brazil,wiki/missing_player.jpg,,Daniel Silva,MC,20,58,Brazil,wiki/missing_player.jpg,,Wellington Junior,MC,20,58,Brazil,wiki/missing_player.jpg,,Roberto Pitio,MC,20,58,Brazil,wiki/missing_player.jpg,,Múmia,MC,20,58,Brazil,wiki/missing_player.jpg,,Diego,MC,20,58,Brazil,wiki/missing_player.jpg,,Sérgio Mendes Coimbra,MC,20,58,Brazil,wiki/missing_player.jpg,,Vanderlei,MC,20,58,Brazil,wiki/missing_player.jpg,,Benicio,MC,20,58,Brazil,wiki/missing_player.jpg
a,Bruno Kabelo,MC,32,68,Brazil,wiki/missing_player.jpg,,Cristiano,MC,32,68,Brazil,wiki/missing_player.jpg,,Kauan Cristian,MC,32,68,Brazil,wiki/missing_player.jpg,,Yuri,MC,32,68,Brazil,wiki/missing_player.jpg,,Michel Pires,MC,32,68,Brazil,wiki/missing_player.jpg,,Raone Lino Da Silva Dos Anjos Macedo,MC,32,68,Brazil,wiki/missing_player.jpg,,Pelé da Guatemala,MC,32,68,Brazil,wiki/missing_player.jpg,,Marcelinho Paraíba,MC,32,68,Brazil,wiki/missing_player.jpg,,Gabriel Alves de Cunha Borges,MC,32,68,Brazil,wiki/missing_player.jpg,,Hudson Previdelo,MC,32,68,Brazil,wiki/missing_player.jpg,,Klebinho,MC,32,68,Brazil,wiki/missing_player.jpg
a,Matheus Damascena,MEI,18,54,Brazil,wiki/missing_player.jpg,,Matheus Isaías,MEI,18,62,Brazil,wiki/missing_player.jpg,,Bruno Barra,MEI,18,62,Brazil,wiki/missing_player.jpg,,Santarém,MEI,18,62,Brazil,wiki/missing_player.jpg,,Caio Cezar,MEI,18,62,Brazil,wiki/missing_player.jpg,,Lucas Crispim,MEI,18,62,Brazil,wiki/missing_player.jpg,,Denis,MEI,18,62,Brazil,wiki/missing_player.jpg,,Edson Ratinho,MEI,18,62,Brazil,wiki/missing_player.jpg,,Gabriel,MEI,18,62,Brazil,wiki/missing_player.jpg,,Everton Moraes,MEI,18,62,Brazil,wiki/missing_player.jpg,,André Osmar,MEI,18,62,Brazil,wiki/missing_player.jpg
a,Marcelo Camargo,MEI,30,64,Brazil,wiki/missing_player.jpg,,Fábio Bahia,MEI,30,71,Brazil,wiki/missing_player.jpg,,Muniz,MEI,30,71,Brazil,wiki/missing_player.jpg,,Jonatham Pimpão,MEI,30,71,Brazil,wiki/missing_player.jpg,,Rodrigo de Souza Fonseca,MEI,30,71,Brazil,wiki/missing_player.jpg,,Caíque Silva,MEI,30,71,Brazil,wiki/missing_player.jpg,,Brad Pitt,MEI,30,71,Brazil,wiki/missing_player.jpg,,José Rodrigues de Oliveira,MEI,30,71,Brazil,wiki/missing_player.jpg,,Dione Ribas,MEI,30,71,Brazil,wiki/missing_player.jpg,,Guerrinha,MEI,30,71,Brazil,wiki/missing_player.jpg,,Gerson Belão,MEI,30,71,Brazil,wiki/missing_player.jpg
a,Marquinhos Oliveira,MD,29,62,Brazil,wiki/missing_player.jpg,,Escobar,MD,29,69,Brazil,wiki/missing_player.jpg,,Emerson Júnior,MD,29,69,Brazil,wiki/missing_player.jpg,,Adson,MD,29,69,Brazil,wiki/missing_player.jpg,,Gilson Jesus do Nascimento,MD,29,69,Brazil,wiki/missing_player.jpg,,Pedro Henrique Barbosa Ferreira,MD,29,69,Brazil,wiki/missing_player.jpg,,Mauricinho,MD,29,69,Brazil,wiki/missing_player.jpg,,Yuri,MD,29,69,Brazil,wiki/missing_player.jpg,,Marinho,MD,29,69,Brazil,wiki/missing_player.jpg,,Aberdan,MD,29,69,Brazil,wiki/missing_player.jpg,,Ygor,MD,29,69,Brazil,wiki/missing_player.jpg
a,Rafael Marcos,MEI,27,59,Brazil,wiki/missing_player.jpg,,Allan Dias,MEI,27,65,Brazil,wiki/missing_player.jpg,,Danrley,MEI,27,65,Brazil,wiki/missing_player.jpg,,Adenilson,MEI,27,65,Brazil,wiki/missing_player.jpg,,Michel Santos,MEI,27,65,Brazil,wiki/missing_player.jpg,,Alan,MEI,27,65,Brazil,wiki/missing_player.jpg,,Mauro Shampoo,MEI,27,65,Brazil,wiki/missing_player.jpg,,Anselmo,MEI,27,65,Brazil,wiki/missing_player.jpg,,Emerson Carvalho,MEI,27,65,Brazil,wiki/missing_player.jpg,,Vanderlei,MEI,27,65,Brazil,wiki/missing_player.jpg,,Nilsão,MEI,27,65,Brazil,wiki/missing_player.jpg
a,Bibi,PE,20,61,Brazil,wiki/missing_player.jpg,,Juninho Manella,PE,20,61,Brazil,wiki/missing_player.jpg,,Pedro Thomaz,PE,20,61,Brazil,wiki/missing_player.jpg,,Lucas Duarte,PE,20,61,Brazil,wiki/missing_player.jpg,,Alex,PE,20,61,Brazil,wiki/missing_player.jpg,,Matheus Régis,PE,20,61,Brazil,wiki/missing_player.jpg,,Vampeta,PE,20,61,Brazil,wiki/missing_player.jpg,,Alex,PE,20,61,Brazil,wiki/missing_player.jpg,,Carlos Maia,PE,20,61,Brazil,wiki/missing_player.jpg,,Lucas Moreira,PE,20,61,Brazil,wiki/missing_player.jpg,,Juca,PE,20,61,Brazil,wiki/missing_player.jpg
a,Artur Souza,PD,26,65,Brazil,wiki/missing_player.jpg,,Marcus Uberaba,PD,26,65,Brazil,wiki/missing_player.jpg,,Marcos Júnior,PD,26,65,Brazil,wiki/missing_player.jpg,,Daniel Dias,PD,26,65,Brazil,wiki/missing_player.jpg,,Esdras Marcelino dos Anjos,PD,26,65,Brazil,wiki/missing_player.jpg,,Olávio,PD,26,65,Brazil,wiki/missing_player.jpg,,Dinei,PD,26,65,Brazil,wiki/missing_player.jpg,,Naldo,PD,26,65,Brazil,wiki/missing_player.jpg,,Gabriel Ribeiro,PD,26,65,Brazil,wiki/missing_player.jpg,,Vitor Guedes,PD,26,65,Brazil,wiki/missing_player.jpg,,Rian,PD,26,65,Brazil,wiki/missing_player.jpg
a,Dayvyd,ATA,38,64,Brazil,wiki/missing_player.jpg,,Kayan,ATA,38,64,Brazil,wiki/missing_player.jpg,,Bruno Gallo,ATA,38,64,Brazil,wiki/missing_player.jpg,,Wisney,ATA,38,64,Brazil,wiki/missing_player.jpg,,Maciel,ATA,38,64,Brazil,wiki/missing_player.jpg,,Guilherme,ATA,38,64,Brazil,wiki/missing_player.jpg,,Zumbi,ATA,38,64,Brazil,wiki/missing_player.jpg,,Renato,ATA,38,64,Brazil,wiki/missing_player.jpg,,Juninho Potiguar,ATA,38,64,Brazil,wiki/missing_player.jpg,,Vanderson,ATA,38,64,Brazil,wiki/missing_player.jpg,,Leandro William Araujo Vieira,ATA,38,64,Brazil,wiki/missing_player.jpg
a,Wander,ATA,25,57,Brazil,wiki/missing_player.jpg,,Daniel Costa,ATA,25,68,Brazil,wiki/missing_player.jpg,,Pedro Alves,ATA,25,68,Brazil,wiki/missing_player.jpg,,Adson Neto,ATA,25,68,Brazil,wiki/missing_player.jpg,,Willy,ATA,25,68,Brazil,wiki/missing_player.jpg,,Rafael Sena,ATA,25,68,Brazil,wiki/missing_player.jpg,,Carcaça,ATA,25,68,Brazil,wiki/missing_player.jpg,,Geandro,ATA,25,68,Brazil,wiki/missing_player.jpg,,Claudinho,ATA,25,68,Brazil,wiki/missing_player.jpg,,Jonathan,ATA,25,68,Brazil,wiki/missing_player.jpg,,Diogo,ATA,25,68,Brazil,wiki/missing_player.jpg
a,Elisson,ATA,22,59,Brazil,wiki/missing_player.jpg,,Leilson,ATA,22,63,Brazil,wiki/missing_player.jpg,,Luigi,ATA,22,63,Brazil,wiki/missing_player.jpg,,Roberto Santos,ATA,22,63,Brazil,wiki/missing_player.jpg,,Heitor,ATA,22,63,Brazil,wiki/missing_player.jpg,,Jordan,ATA,22,63,Brazil,wiki/missing_player.jpg,,Choppe,ATA,22,63,Brazil,wiki/missing_player.jpg,,Ítalo Melo,ATA,22,63,Brazil,wiki/missing_player.jpg,,Iago,ATA,22,63,Brazil,wiki/missing_player.jpg,,Augusto,ATA,22,63,Brazil,wiki/missing_player.jpg,,João Paulo,ATA,22,63,Brazil,wiki/missing_player.jpg
a,Tele,ATA,23,60,Brazil,wiki/missing_player.jpg,,Mateus Criciúma,ATA,23,65,Brazil,wiki/missing_player.jpg,,Valter,ATA,23,65,Brazil,wiki/missing_player.jpg,,Denis Silveira,ATA,23,65,Brazil,wiki/missing_player.jpg,,Moraes Silva Josielson,ATA,23,65,Brazil,wiki/missing_player.jpg,,Ribinha,ATA,23,65,Brazil,wiki/missing_player.jpg,,Capeta,ATA,23,65,Brazil,wiki/missing_player.jpg,,Marcelo Costa,ATA,23,65,Brazil,wiki/missing_player.jpg,,Eduardo Amancio Alves Lopes,ATA,23,65,Brazil,wiki/missing_player.jpg,,Pedro Matheus,ATA,23,65,Brazil,wiki/missing_player.jpg,,Fernandinho,ATA,23,65,Brazil,wiki/missing_player.jpg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"26,6","62,7",,,,,,"26,6","65,0",,,,,,"26,6","65,0",,,,,,"26,6","65,0",,,,,,"26,6","65,0",,,,,,"26,6","65,0",,,,,,"26,6","65,0",,,,,,"26,6","65,0",,,,,,"26,6","65,0",,,,,,"26,6","65,0",,,,,,"26,6","65,0",,
