club,name,position,age,overall,nationality,image
Chelsea,J. Cumming,GOL,22,66,England,/238/070/23_60.png
Chelsea,O. Hutchinson,MEI MD,18,64,Jamaica,/260/145/23_60.png
Chelsea,C. Chukwuemeka,MC MEI ATA,18,64,England,/259/356/23_60.png
Chelsea,H. Vale,MEI PD PE,18,63,England,/265/412/23_60.png
Chelsea,J. Castillo,LE LE,22,62,Netherlands,/238/190/23_60.png
Chelsea,D. Williams,LE LE,18,61,England,/264/115/23_60.png
Chelsea,L. Hall,MC LE LE,17,60,England,/266/127/23_60.png
Chelsea,J. Brooking,ZAG LD,19,60,England,/257/239/23_60.png
Chelsea,C. Webster,MC VOL MEI,18,58,England,/261/390/23_60.png
Manchester City,K. De Bruyne,MC MEI,31,91,Belgium,/192/985/23_60.png
Manchester City,Ederson,GOL,28,89,Brazil,/210/257/23_60.png
Manchester City,E. Haaland,ATA,21,89,Norway,/239/085/23_60.png
Manchester City,Rúben Dias,ZAG,25,88,Portugal,/239/818/23_60.png
Manchester City,João Cancelo,LE LD,28,88,Portugal,/210/514/23_60.png
Manchester City,Bernardo Silva,MEI MC,27,88,Portugal,/218/667/23_60.png
Manchester City,Rodri,VOL,26,87,Spain,/231/866/23_60.png
Manchester City,A. Laporte,ZAG,28,86,Spain,/212/218/23_60.png
Manchester City,P. Foden,PE ATA MEI,22,85,England,/237/692/23_60.png
Manchester City,K. Walker,LD,32,85,England,/188/377/23_60.png
Manchester City,R. Mahrez,PD MD,31,85,Algeria,/204/485/23_60.png
Manchester City,İ. Gündoğan,MC VOL,31,85,Germany,/186/942/23_60.png
Manchester City,J. Grealish,PE ME,26,84,England,/206/517/23_60.png
Manchester City,J. Stones,ZAG LD,28,83,England,/203/574/23_60.png
Manchester City,K. Phillips,VOL MC,26,81,England,/224/081/23_60.png
Manchester City,M. Akanji,ZAG,26,81,Switzerland,/229/237/23_60.png
Manchester City,S. Ortega,GOL,29,80,Germany,/200/159/23_60.png
Manchester City,J. Álvarez,ATA PD PE,22,79,Argentina,/246/191/23_60.png
Manchester City,N. Aké,ZAG LE,27,79,Netherlands,/208/920/23_60.png
Manchester City,Z. Steffen,GOL,27,76,United States,/234/777/23_60.png
Manchester City,Y. Herrera,MC VOL MEI,24,76,Venezuela,/234/060/23_60.png
Manchester City,Sergio Gómez,LE,21,74,Spain,/241/811/23_60.png
Manchester City,Yan Couto,MD LD LD,20,72,Brazil,/259/075/23_60.png
Manchester City,I. Kaboré,LD LD,21,72,Burkina Faso,/253/052/23_60.png
Manchester City,T. Harwood-Bellis,ZAG,20,71,England,/252/793/23_60.png
Manchester City,Diego Rosa,MC VOL,19,67,Brazil,/270/339/23_60.png
Manchester City,L. Delap,ATA,19,66,England,/259/031/23_60.png
Manchester City,T. Doyle,MC VOL,20,66,England,/254/120/23_60.png
Manchester City,C. Palmer,MEI PD ATA,20,66,England,/257/534/23_60.png
Manchester City,J. Trafford,GOL,19,66,England,/263/063/23_60.png
Manchester City,Kayky,PD,19,66,Brazil,/262/053/23_60.png
Manchester City,M. Rogers,PE PD,19,66,England,/260/247/23_60.png
Manchester City,S. Carson,GOL,36,65,England,/157/804/23_60.png
Manchester City,L. Fiorini,MC,20,65,Scotland,/262/981/23_60.png
Manchester City,C. Doyle,ZAG LE,18,64,England,/263/390/23_60.png
Manchester City,F. Stevanović,ME PE MD,19,63,Serbia,/263/169/23_60.png
Manchester City,J. McAtee,MEI,19,63,England,/264/349/23_60.png
Manchester City,S. Tedić,ATA,22,63,Serbia,/258/560/23_60.png
Manchester City,L. Mbete,ZAG,18,63,England,/261/621/23_60.png
Manchester City,R. Lewis,LD LD,17,62,England,/271/574/23_60.png
Manchester City,B. Knight,PD,20,60,England,/263/955/23_60.png
Manchester City,A. Robertson,MC,19,58,England,/259/677/23_60.png
Manchester City,J. Wilson-Esbrand,LE,19,58,England,/264/681/23_60.png
Manchester City,C. Slicker,GOL,19,52,Scotland,/264/645/23_60.png
Manchester United,Casemiro,VOL,30,89,Brazil,/200/145/23_60.png
Manchester United,De Gea,GOL,31,87,Spain,/193/080/23_60.png
Manchester United,Bruno Fernandes,MEI MC,27,86,Portugal,/212/198/23_60.png
Manchester United,R. Varane,ZAG,29,85,France,/201/535/23_60.png
Manchester United,C. Eriksen,MC VOL MEI,30,83,Denmark,/190/460/23_60.png
Manchester United,J. Sancho,PE PD ME,22,83,England,/233/049/23_60.png
Manchester United,Antony,PD MD,22,82,Brazil,/255/475/23_60.png
Manchester United,L. Martínez,ZAG,24,82,Argentina,/239/301/23_60.png
Manchester United,M. Rashford,ATA PE,24,81,England,/231/677/23_60.png
Manchester United,Diogo Dalot,LD,23,80,Portugal,/234/574/23_60.png
Manchester United,L. Shaw,LE,26,80,England,/205/988/23_60.png
Manchester United,Fred,MC VOL,29,80,Brazil,/209/297/23_60.png
Manchester United,S. McTominay,VOL MC,25,80,Scotland,/237/238/23_60.png
Manchester United,H. Maguire,ZAG,29,80,England,/203/263/23_60.png
Manchester United,V. Lindelöf,ZAG,27,80,Sweden,/221/660/23_60.png
Manchester United,A. Martial,ATA ME,26,80,France,/211/300/23_60.png
Manchester United,Alex Telles,LE,29,80,Brazil,/212/462/23_60.png
Manchester United,T. Malacia,LE,22,79,Netherlands,/238/041/23_60.png
Manchester United,M. Dúbravka,GOL,33,79,Slovakia,/220/407/23_60.png
Manchester United,D. Henderson,GOL,25,79,England,/233/306/23_60.png
Manchester United,A. Wan-Bissaka,LD,24,79,England,/229/880/23_60.png
Manchester United,D. van de Beek,MC MEI VOL,25,78,Netherlands,/221/363/23_60.png
Manchester United,E. Bailly,ZAG,28,76,Ivory Coast,/225/508/23_60.png
Manchester United,A. Elanga,PD PE MD,20,74,Sweden,/257/470/23_60.png
Manchester United,A. Tuanzebe,ZAG,24,73,England,/231/485/23_60.png
Manchester United,B. Williams,LE LD,21,73,England,/243/414/23_60.png
Manchester United,P. Jones,ZAG,30,72,England,/194/957/23_60.png
Manchester United,T. Heaton,GOL,36,72,England,/163/264/23_60.png
Manchester United,E. Laird,LD LD,20,71,England,/246/159/23_60.png
Manchester United,F. Pellistri,MD,20,70,Uruguay,/253/283/23_60.png
Manchester United,A. Diallo,MD PD,19,70,Ivory Coast,/254/088/23_60.png
Manchester United,D. Bernard,ZAG LD,21,69,England,/253/034/23_60.png
Manchester United,T. Mengi,ZAG,20,67,England,/253/465/23_60.png
Manchester United,Álvaro Fernández,LE LE,19,66,Spain,/268/889/23_60.png
Manchester United,Alejandro Garnacho,PE ME MD,18,65,Argentina,/268/438/23_60.png
Manchester United,S. Shoretire,MD MEI MC,18,64,England,/260/910/23_60.png
Manchester United,H. Mejbri,MEI MC,19,64,Tunisia,/258/171/23_60.png
Manchester United,E. Galbraith,VOL MC,21,64,Northern Ireland,/243/640/23_60.png
Manchester United,Z. Iqbal,MC MEI,19,62,Iraq,/265/788/23_60.png
Manchester United,C. Savage,VOL MC,19,61,Wales,/265/789/23_60.png
Manchester United,R. Vitek,GOL,18,60,Czech Republic,/269/694/23_60.png
Manchester United,W. Fish,ZAG,19,59,England,/256/611/23_60.png
Arsenal,T. Partey,VOL MC,29,84,Ghana,/209/989/23_60.png
Arsenal,M. Ødegaard,MEI MC,23,84,Norway,/222/665/23_60.png
Arsenal,Gabriel Jesus,ATA PD,25,84,Brazil,/230/666/23_60.png
Arsenal,B. Saka,MD PD,20,83,England,/246/669/23_60.png
Arsenal,A. Ramsdale,GOL,24,82,England,/233/934/23_60.png
Arsenal,Gabriel,ZAG,24,81,Brazil,/232/580/23_60.png
Arsenal,W. Saliba,ZAG,21,81,France,/243/715/23_60.png
Arsenal,G. Xhaka,VOL MC,29,81,Switzerland,/199/503/23_60.png
Arsenal,K. Tierney,LE,25,81,Scotland,/226/491/23_60.png
Arsenal,B. White,ZAG LD,24,80,England,/231/936/23_60.png
Arsenal,E. Smith Rowe,ME MEI,21,80,England,/240/273/23_60.png
Arsenal,O. Zinchenko,LE,25,79,Ukraine,/227/813/23_60.png
Arsenal,T. Tomiyasu,LD,23,79,Japan,/232/938/23_60.png
Arsenal,Gabriel Martinelli,ME PE,21,79,Brazil,/251/566/23_60.png
Arsenal,N. Pépé,MD ME PE,27,79,Ivory Coast,/226/110/23_60.png
Arsenal,R. Holding,ZAG,26,77,England,/228/295/23_60.png
Arsenal,Fábio Vieira,MEI MD,22,77,Portugal,/256/958/23_60.png
Arsenal,M. Turner,GOL,28,77,United States,/233/267/23_60.png
Arsenal,M. Elneny,VOL MC,29,76,Egypt,/211/454/23_60.png
Arsenal,Pablo Marí,ZAG,28,76,Spain,/206/654/23_60.png
Arsenal,Nuno Tavares,LE ME,22,75,Portugal,/251/530/23_60.png
Arsenal,A. Sambi Lokonga,VOL MC,22,75,Belgium,/241/928/23_60.png
Arsenal,Cédric,LD,30,75,Portugal,/201/118/23_60.png
Arsenal,A. Maitland-Niles,LD MC LD,24,74,England,/225/782/23_60.png
Arsenal,Marquinhos,MD ME,19,73,Brazil,/270/390/23_60.png
Arsenal,R. Nelson,PD PE,22,73,England,/231/448/23_60.png
Arsenal,E. Nketiah,ATA,23,73,England,/236/988/23_60.png
Arsenal,R. Rúnarsson,GOL,27,71,Iceland,/222/562/23_60.png
Arsenal,A. Trusty,ZAG LE,23,71,United States,/235/755/23_60.png
Arsenal,F. Balogun,ATA,20,70,England,/247/463/23_60.png
Arsenal,H. Clarke,ZAG LD LD,21,65,England,/245/729/23_60.png
Arsenal,B. Norton-Cuffy,LD LD,18,65,England,/260/653/23_60.png
Arsenal,C. Patino,MC VOL,18,65,England,/260/144/23_60.png
Arsenal,K. Hein,GOL,20,64,Estonia,/248/732/23_60.png
Arsenal,M. Smith,MC VOL,21,64,England,/247/731/23_60.png
Arsenal,A. Okonkwo,GOL,20,64,England,/246/671/23_60.png
Arsenal,M. Flores,ME ATA MD,18,64,Mexico,/259/717/23_60.png
Arsenal,T. John-Jules,ATA PE,21,64,England,/242/710/23_60.png
Arsenal,R. Alebiosu,LD,20,63,England,/260/142/23_60.png
Arsenal,O. Rekik,ZAG,20,63,Tunisia,/258/033/23_60.png
Arsenal,C. Cîrjan,MC MD,19,62,Romania,/260/141/23_60.png
Arsenal,J. Ideho,ME MD ATA,18,61,Netherlands,/259/403/23_60.png
Arsenal,G. Lewis,ME MD,22,59,Norway,/259/095/23_60.png
Arsenal,A. Cozier-Duberry,ME MEI,17,59,England,/271/743/23_60.png
Arsenal,L. Sousa,LE,17,58,England,/271/808/23_60.png
Liverpool,M. Salah,PD,30,90,Egypt,/209/331/23_60.png
Liverpool,V. van Dijk,ZAG,30,89,Netherlands,/203/376/23_60.png
Liverpool,Alisson,GOL,29,89,Brazil,/212/831/23_60.png
Liverpool,A. Robertson,LE,28,87,Scotland,/216/267/23_60.png
Liverpool,Fabinho,VOL ZAG,28,86,Brazil,/209/499/23_60.png
Liverpool,Thiago,MC,31,86,Spain,/189/509/23_60.png
Liverpool,T. Alexander-Arnold,LD,23,86,England,/231/281/23_60.png
Liverpool,Diogo Jota,ATA PE,25,85,Portugal,/224/458/23_60.png
Liverpool,L. Díaz,PE ME,25,84,Colombia,/241/084/23_60.png
Liverpool,J. Matip,ZAG,30,84,Cameroon,/197/061/23_60.png
Liverpool,Roberto Firmino,ATA,30,83,Brazil,/201/942/23_60.png
Liverpool,D. Núñez,ATA PE,23,82,Uruguay,/253/072/23_60.png
Liverpool,J. Henderson,MC VOL,32,82,England,/183/711/23_60.png
Liverpool,J. Gomez,ZAG LD,25,81,England,/225/100/23_60.png
Liverpool,I. Konaté,ZAG,23,81,France,/237/678/23_60.png
Liverpool,Arthur,MC VOL,25,80,Brazil,/230/658/23_60.png
Liverpool,N. Keïta,MC,27,80,Guinea,/220/971/23_60.png
Liverpool,J. Milner,MC LE LD,36,77,England,/138/412/23_60.png
Liverpool,K. Tsimikas,LE,26,77,Greece,/232/223/23_60.png
Liverpool,A. Oxlade-Chamberlain,MC,28,77,England,/198/784/23_60.png
Liverpool,C. Jones,MC,21,76,England,/242/434/23_60.png
Liverpool,H. Elliott,MEI MC PD,19,75,England,/246/174/23_60.png
Liverpool,Fábio Carvalho,MEI MC ME,19,74,Portugal,/256/725/23_60.png
Liverpool,C. Kelleher,GOL,23,73,Ireland,/240/913/23_60.png
Liverpool,N. Phillips,ZAG,25,73,England,/240/926/23_60.png
Liverpool,Adrián,GOL,35,72,Spain,/194/911/23_60.png
Liverpool,S. van den Berg,ZAG,20,71,Netherlands,/242/453/23_60.png
Liverpool,A. Arroyo,ZAG LD,22,69,Colombia,/231/697/23_60.png
Liverpool,C. Bradley,LD,18,66,Northern Ireland,/264/298/23_60.png
Liverpool,R. Williams,ZAG,21,65,England,/247/601/23_60.png
Liverpool,L. Clarkson,MEI VOL MC,20,64,England,/252/134/23_60.png
Liverpool,T. Morton,VOL,19,64,England,/265/459/23_60.png
Liverpool,C. Ramsay,LD LD,18,64,Scotland,/252/897/23_60.png
Liverpool,V. Jaroš,GOL,20,64,Czech Republic,/253/428/23_60.png
Liverpool,B. Koumetio,ZAG,19,63,France,/254/588/23_60.png
Liverpool,J. Cain,MC VOL,20,62,England,/253/482/23_60.png
Liverpool,K. Gordon,PD PE,17,62,England,/260/406/23_60.png
Liverpool,Stefan Bajcetic,VOL ZAG,17,61,Spain,/271/975/23_60.png
Liverpool,O. Beck,LE LE,19,61,Wales,/264/299/23_60.png
Liverpool,J. Balagizi,MC MEI,18,61,England,/269/944/23_60.png
Liverpool,J. Norris,LE,19,60,England,/264/561/23_60.png
Liverpool,A. Lewis,LE LE,22,59,England,/243/056/23_60.png
Liverpool,P. Glatzel,ATA,21,58,Germany,/247/507/23_60.png
Liverpool,M. Woltman,ATA PE,18,56,England,/266/761/23_60.png
Tottenham,H. Kane,ATA,28,89,England,/202/126/23_60.png
Tottenham,H. Son,PE ME,29,89,South Korea,/200/104/23_60.png
Tottenham,H. Lloris,GOL,35,86,France,/167/948/23_60.png
Tottenham,P. Højbjerg,VOL MC,26,84,Denmark,/213/648/23_60.png
Tottenham,I. Perišić,ME LE,33,83,Croatia,/181/458/23_60.png
Tottenham,C. Romero,ZAG,24,83,Argentina,/232/488/23_60.png
Tottenham,R. Bentancur,MC,25,81,Uruguay,/227/535/23_60.png
Tottenham,D. Kulusevski,PD,22,81,Sweden,/247/394/23_60.png
Tottenham,Richarlison,ATA PE,25,81,Brazil,/231/943/23_60.png
Tottenham,G. Lo Celso,MEI ME ATA,26,81,Argentina,/226/226/23_60.png
Tottenham,Y. Bissouma,VOL MC,25,80,Mali,/236/480/23_60.png
Tottenham,Reguilón,LE LE,25,80,Spain,/245/279/23_60.png
Tottenham,E. Dier,ZAG,28,80,England,/202/335/23_60.png
Tottenham,D. Sánchez,ZAG,26,79,Colombia,/220/793/23_60.png
Tottenham,Lucas Moura,PD,29,79,Brazil,/200/949/23_60.png
Tottenham,T. Ndombele,MC VOL MEI,25,79,France,/235/569/23_60.png
Tottenham,B. Davies,ZAG,29,79,Wales,/205/923/23_60.png
Tottenham,C. Lenglet,ZAG,27,78,France,/220/440/23_60.png
Tottenham,Emerson Royal,LD LD,23,77,Brazil,/247/204/23_60.png
Tottenham,M. Doherty,LD LD,30,77,Ireland,/201/417/23_60.png
Tottenham,O. Skipp,VOL MC,21,77,England,/241/042/23_60.png
Tottenham,D. Udogie,LE ME,19,76,Italy,/259/583/23_60.png
Tottenham,R. Sessegnon,LE LE,22,76,England,/235/883/23_60.png
Tottenham,F. Forster,GOL,34,76,England,/172/203/23_60.png
Tottenham,Bryan Gil,ME MD,21,76,Spain,/246/785/23_60.png
Tottenham,H. Winks,MC VOL,26,76,England,/222/400/23_60.png
Tottenham,D. Spence,LD LD,21,75,England,/243/702/23_60.png
Tottenham,J. Tanganga,LD ZAG,23,74,England,/236/600/23_60.png
Tottenham,J. Rodon,ZAG,24,74,Wales,/229/266/23_60.png
Tottenham,P. Sarr,MC,19,71,Senegal,/259/868/23_60.png
Tottenham,T. Parrott,ATA MD,20,66,Ireland,/245/902/23_60.png
Tottenham,D. Scarlett,ATA,18,65,England,/261/025/23_60.png
Tottenham,H. White,VOL MC,20,64,England,/245/903/23_60.png
Tottenham,B. Austin,GOL,23,64,England,/236/568/23_60.png
Tottenham,J. Bowden,MC VOL,20,63,Ireland,/245/907/23_60.png
Tottenham,A. Whiteman,GOL,23,63,England,/236/239/23_60.png
Tottenham,A. Devine,MEI PE,17,61,England,/264/180/23_60.png
Tottenham,B. Lyons-Foster,ZAG VOL,21,58,England,/243/848/23_60.png
Everton,J. Pickford,GOL,28,82,England,/204/935/23_60.png
Everton,I. Gueye,VOL MC,32,82,Senegal,/193/474/23_60.png
Everton,J. Tarkowski,ZAG,29,80,England,/202/695/23_60.png
Everton,C. Coady,ZAG,29,79,England,/202/048/23_60.png
Everton,D. Calvert-Lewin,ATA,25,79,England,/221/479/23_60.png
Everton,A. Doucouré,MC VOL,29,78,Mali,/208/135/23_60.png
Everton,M. Keane,ZAG,29,78,England,/207/599/23_60.png
Everton,M. Kean,ATA PE,22,78,Italy,/236/610/23_60.png
Everton,Y. Mina,ZAG,27,77,Colombia,/220/523/23_60.png
Everton,B. Godfrey,ZAG LE,24,77,England,/225/793/23_60.png
Everton,D. Gray,ME PE MEI,26,77,England,/220/633/23_60.png
Everton,D. Alli,MEI MC,26,77,England,/211/117/23_60.png
Everton,A. Townsend,MD,30,76,England,/194/932/23_60.png
Everton,N. Maupay,ATA,25,76,France,/211/784/23_60.png
Everton,A. Iwobi,MEI MC MD,26,76,Nigeria,/213/655/23_60.png
Everton,D. McNeil,ME MD,22,76,England,/243/282/23_60.png
Everton,V. Mykolenko,LE LE,23,76,Ukraine,/244/380/23_60.png
Everton,A. Onana,VOL MC,20,75,Belgium,/257/057/23_60.png
Everton,A. Gordon,ME MD,21,75,England,/242/964/23_60.png
Everton,T. Davies,MC VOL,24,75,England,/230/005/23_60.png
Everton,S. Coleman,LD LD,33,75,Ireland,/180/216/23_60.png
Everton,A. Begović,GOL,35,75,Bosnia,/172/723/23_60.png
Everton,J. Gbamin,VOL MC,26,75,Ivory Coast,/214/947/23_60.png
Everton,André Gomes,MC VOL,28,75,Portugal,/211/575/23_60.png
Everton,M. Holgate,ZAG LD,25,75,England,/225/024/23_60.png
Everton,S. Rondón,ATA,32,73,Venezuela,/189/250/23_60.png
Everton,Rúben Vinagre,LE LE,23,73,Portugal,/235/172/23_60.png
Everton,J. Garner,VOL MC,21,72,England,/243/657/23_60.png
Everton,N. Patterson,LD LD,20,69,Scotland,/257/896/23_60.png
Everton,J. Branthwaite,ZAG,20,68,England,/247/649/23_60.png
Everton,E. Simms,ATA,21,68,England,/251/198/23_60.png
Everton,N. Broadhead,ME ATA,24,68,Wales,/232/545/23_60.png
Everton,João Virgínia,GOL,22,67,Portugal,/237/704/23_60.png
Everton,N. Nkounkou,LE LE,21,67,France,/255/150/23_60.png
Everton,K. John,LD,21,64,England,/247/764/23_60.png
Everton,L. Gibson,ZAG,21,64,England,/240/496/23_60.png
Everton,E. Jakupović,GOL,37,63,Switzerland,/052/326/23_60.png
Everton,A. Lonergan,GOL,38,62,England,/118/794/23_60.png
Everton,R. Astley,ZAG,20,62,Wales,/246/950/23_60.png
Everton,L. Dobbin,ATA ME MEI,19,62,England,/264/039/23_60.png
Everton,T. Onyango,MC,19,60,England,/263/168/23_60.png
Everton,L. Warrington,MC,19,60,England,/266/871/23_60.png
Everton,T. Cannon,ATA,19,59,England,/272/651/23_60.png
Everton,R. Welch,ZAG,18,56,England,/268/632/23_60.png
Everton,I. Price,MC,18,55,Northern Ireland,/268/630/23_60.png
Leicester,J. Maddison,MD MEI,25,84,England,/220/697/23_60.png
Leicester,Y. Tielemans,MC VOL,25,84,Belgium,/216/393/23_60.png
Leicester,W. Ndidi,VOL MC ZAG,25,83,Nigeria,/226/790/23_60.png
Leicester,J. Vardy,ATA,35,83,England,/208/830/23_60.png
Leicester,Ricardo Pereira,LD LD,28,82,Portugal,/210/243/23_60.png
Leicester,H. Barnes,ME,24,80,England,/234/742/23_60.png
Leicester,J. Evans,ZAG,34,79,Northern Ireland,/169/588/23_60.png
Leicester,T. Castagne,LD LE LD,26,78,Belgium,/222/501/23_60.png
Leicester,Ç. Söyüncü,ZAG,26,78,Turkey,/232/119/23_60.png
Leicester,D. Praet,MEI ATA MC,28,78,Belgium,/199/652/23_60.png
Leicester,W. Faes,ZAG,24,78,Belgium,/235/036/23_60.png
Leicester,P. Daka,ATA,23,77,Zambia,/241/202/23_60.png
Leicester,K. Iheanacho,ATA,25,77,Nigeria,/225/719/23_60.png
Leicester,D. Amartey,ZAG,27,76,Ghana,/212/883/23_60.png
Leicester,Ayoze Pérez,MD PD,28,76,Spain,/215/590/23_60.png
Leicester,B. Soumaré,VOL MC,23,76,France,/239/817/23_60.png
Leicester,J. Justin,LE LD,24,76,England,/231/554/23_60.png
Leicester,K. Dewsbury-Hall,MC VOL,23,76,England,/237/386/23_60.png
Leicester,D. Ward,GOL,29,75,Wales,/207/998/23_60.png
Leicester,M. Albrighton,MD LD PD,32,75,England,/183/130/23_60.png
Leicester,J. Vestergaard,ZAG,29,75,Denmark,/202/849/23_60.png
Leicester,L. Thomas,LE LE,21,74,England,/254/470/23_60.png
Leicester,N. Mendy,VOL MC,30,74,Senegal,/198/861/23_60.png
Leicester,R. Bertrand,LE,32,73,England,/169/705/23_60.png
Leicester,D. Iversen,GOL,24,73,Denmark,/228/410/23_60.png
Leicester,H. Choudhury,VOL MC,24,73,England,/228/332/23_60.png
Leicester,A. Smithies,GOL,32,71,England,/184/436/23_60.png
Leicester,G. Hirst,ATA,23,67,England,/233/602/23_60.png
Leicester,S. Braybrooke,MC VOL,18,63,England,/267/868/23_60.png
Leicester,J. Eppiah,ATA,23,61,Belgium,/240/803/23_60.png
Leicester,K. Leshabela,MEI MC,22,60,South Africa,/241/435/23_60.png
Leicester,K. McAteer,MD,20,60,England,/265/801/23_60.png
Leicester,Wanya Marçal,MD,19,60,Portugal,/267/867/23_60.png
Leicester,T. Maswanhise,ATA,19,60,Zimbabwe,/271/693/23_60.png
Leicester,T. Suengchitthawon,MEI,22,59,Thailand,/259/324/23_60.png
Leicester,J. Stolarczyk,GOL,21,58,Poland,/239/772/23_60.png
Leicester,J. Wormleighton,LD,18,58,England,/272/369/23_60.png
Leicester,B. Nelson,ZAG,18,58,England,/270/944/23_60.png
Leicester,L. Brunt,ZAG LE,21,57,England,/246/392/23_60.png
Leeds United,L. Sinisterra,ME MD,23,80,Colombia,/233/500/23_60.png
Leeds United,P. Bamford,ATA,28,78,England,/206/534/23_60.png
Leeds United,T. Adams,VOL MC LD,23,78,United States,/232/999/23_60.png
Leeds United,J. Harrison,ME MD,25,77,England,/232/080/23_60.png
Leeds United,Rodrigo,MEI ATA,31,77,Spain,/198/329/23_60.png
Leeds United,R. Kristensen,LD,24,77,Denmark,/233/301/23_60.png
Leeds United,I. Meslier,GOL,22,77,France,/242/656/23_60.png
Leeds United,R. Koch,ZAG VOL,25,76,Germany,/236/532/23_60.png
Leeds United,Marc Roca,VOL MC,25,76,Spain,/235/945/23_60.png
Leeds United,P. Struijk,ZAG VOL LE,22,76,Netherlands,/239/360/23_60.png
Leeds United,B. Aaronson,MEI MC MD,21,75,United States,/247/361/23_60.png
Leeds United,L. Cooper,ZAG,30,75,Scotland,/189/456/23_60.png
Leeds United,L. Ayling,LD ZAG,30,75,England,/186/156/23_60.png
Leeds United,Junior Firpo,LE LE,25,75,Spain,/241/184/23_60.png
Leeds United,Diego Llorente,ZAG,28,75,Spain,/212/602/23_60.png
Leeds United,S. Dallas,MC LE VOL,31,75,Northern Ireland,/203/570/23_60.png
Leeds United,Joel Robles,GOL,32,75,Spain,/195/668/23_60.png
Leeds United,D. James,MD ATA ME,24,75,Wales,/232/104/23_60.png
Leeds United,M. Klich,MC VOL,32,74,Poland,/192/955/23_60.png
Leeds United,Hélder Costa,MD ME,28,74,Angola,/221/743/23_60.png
Leeds United,A. Forshaw,VOL MC,30,73,England,/193/910/23_60.png
Leeds United,J. Gelhardt,ATA ATA,20,72,England,/246/053/23_60.png
Leeds United,C. Summerville,MD ME,20,71,Netherlands,/251/954/23_60.png
Leeds United,T. Roberts,MEI PD MC,23,70,Wales,/228/815/23_60.png
Leeds United,W. Gnonto,ATA ME MD,18,70,Italy,/258/906/23_60.png
Leeds United,I. Poveda,PD MD MEI,22,69,England,/243/390/23_60.png
Leeds United,J. Shackleton,MC LD LD,22,69,England,/245/715/23_60.png
Leeds United,C. Cresswell,ZAG,19,68,England,/254/121/23_60.png
Leeds United,S. Greenwood,MEI ATA MC,20,68,England,/253/407/23_60.png
Leeds United,C. Drameh,LD LD,20,68,England,/254/529/23_60.png
Leeds United,L. Bate,MC VOL,19,65,England,/261/374/23_60.png
Leeds United,K. Klaesson,GOL,21,65,Norway,/237/935/23_60.png
Leeds United,M. Bogusz,ME MEI MD,20,65,Poland,/247/351/23_60.png
Leeds United,L. Hjelde,LE ZAG,18,65,Norway,/253/969/23_60.png
