a,Huracán,,,,,Godoy Cruz,,,,,Atlético Tucumán,,,,,Gimnasia y Esgrima,,,,,Unión de Santa Fe,,,,,Platense,,,,,Aldosivi,,,,,Central Córdoba,,,,,Patronato,,,,,
a,F. Tobio,ZAG,31,67,,G. Abrego,MC VOL,21,68,,F. Andrada,ATA,27,69,,J. Carbonero,ME MD,21,68,,M. Luna Diale,ATA PD MD,22,69,,H. Lamberti,VOL MC,37,68,,F. Gino,MC VOL,28,67,,I. Ramírez,LD,26,67,,M. Ortíz,PD,26,66,,
a,C. Ibañez,LE,21,67,,V. Burgoa,MEI ME,20,67,,A. Lotti,ATA,25,69,,M. Insaurralde,MC VOL,22,67,,K. Zenón,PE MD ME,20,69,,H. Tijanovich,PE ATA ME,25,67,,B. Martínez,MD,21,67,,N. Linares,VOL MC,25,67,,F. Leys,VOL MC,27,65,,
a,B. Vides,ATA PE,28,66,,E. López,LD,20,67,,A. Doldán,ZAG LE,24,68,,G. Fratta,ZAG,25,67,,F. Gerometta,LD,21,69,,H. Ruíz Díaz,ZAG LD,28,67,,L. Maciel,MC VOL,25,66,,M. Laba,VOL MC,29,67,,S. Ojeda,ZAG,29,65,,
a,F. Fattori,MC,28,66,,S. Lomónaco,ME MD ATA,22,67,,G. Gil Romero,VOL MC,28,68,,M. Miranda,MEI MD MC,21,67,,G. González,ME PE LE,20,69,,R. Contreras,ATA,25,67,,M. Miers,ZAG,31,66,,F. Grahl,MC VOL MEI,29,67,,L. Geminiani,LD LE,30,65,,
a,G. Soto,LD,27,66,,J. Andrada,VOL MC,26,67,,R. Cristóbal,VOL,25,67,,F. Soldano,ATA,26,67,,S. Mele,GOL,23,68,,A. Schott,LD LE,21,66,,J. Zacaría,PE ME MC,31,66,,M. Di Benedetto,ZAG,28,67,,F. Vázquez,MC VOL,27,65,,
a,R. Cabral,PE PD,20,66,,G. Ferrari,ZAG LD,24,67,,G. Risso Patrón,LE,25,67,,E. Ramírez,MD ATA MEI,24,67,,J. Álvez,ATA,33,68,,N. Morgantini,LD,26,66,,J. Iritier,PE MD ME,26,65,,P. Argañaraz,ATA,22,66,,Ó. Benítez,ZAG LE,30,65,,
a,S. Hezze,MC,19,66,,G. Goñi,ZAG,22,65,,N. Thaller,ZAG,22,67,,H. Mancilla,VOL MC,29,67,,N. Peñailillo,LE LE,29,68,,F. Gonzáles,MC VOL,21,65,,F. Román Villalba,LE,22,65,,J. Kaprof,ATA ATA MEI,26,66,,L. Kruspzky,LE,29,64,,
a,J. Acevedo,MEI ME MC,24,65,,B. Leyes,MC VOL,19,65,,R. Ruiz,ME ATA,21,66,,N. Contin,ATA,25,66,,B. Blasi,LD LD ZAG,25,67,,F. Baldassarra,MD MC ME,22,65,,J. Indacoechea,LD MC,20,65,,N. Insfrán,GOL,26,64,,R. Lozano,LD LE,23,64,,
a,F. Henríquez,MC VOL,26,65,,F. Negri,LE ME,26,65,,M. Orihuela,LE ME,29,66,,R. Sosa,MD ME,21,65,,J. Nardoni,MC,18,66,,N. Delgadillo,ME PE,23,65,,N. Valentini,ZAG,20,64,,H. López Muñoz,ME,20,64,,T. Banega,MC,22,64,,
a,P. Toranzo,MEI MC,39,65,,F. Henríquez,MC VOL,26,65,,M. Ortíz,ZAG LD,27,66,,O. Piris,ZAG,32,65,,D. Gissi,ZAG,30,66,,N. Zeineddin,ATA,21,64,,M. López Quintana,ZAG,25,64,,R. López,ATA,27,64,,S. Medina,ME MEI,21,63,,
a,W. Pérez,LE ME,22,65,,L. Pizarro,ME MEI,23,65,,M. Capasso,ZAG,25,65,,N. Leyes,VOL MC,31,65,,E. Roldán,MC MD VOL,20,66,,T. Sandoval,ATA,22,64,,A. Ríos,ATA MEI MC,31,64,,N. Banegas,LE ZAG,24,64,,M. Mansilla,GOL,25,63,,
a,P. Adorno,ZAG LE,25,65,,R. Ramírez,GOL,24,64,,J. Pereyra,MC,22,65,,A. Cardozo,VOL MC,24,65,,I. Machuca,MD ME,21,66,,F. Cardozo,LE ZAG,26,64,,E. Maciel,VOL MC,24,64,,A. Bustos,MC,22,63,,A. Rodríguez,ATA,24,62,,
a,S. Meza,GOL,21,65,,S. Rodríguez,ATA,21,64,,A. Lagos,LD MD,19,64,,N. Insfrán,GOL,26,64,,D. Juárez,PD ATA,19,65,,J. Infante,LE LE,25,64,,F. Pérez,ATA PD,22,63,,R. Montes,MC,21,63,,L. Mosevich,ZAG,24,61,,
a,L. Carrizo,LE,24,64,,J. Pintado,LD,23,64,,T. Marchiori,GOL,26,64,,A. Domínguez,ATA,24,63,,M. Peralta Bauer,ATA PD,23,65,,M. Ledesma,GOL,24,64,,P. Boolsen,ZAG,23,63,,F. González Metilli,MD MC,24,63,,J. Guasone,ZAG,20,60,,
a,M. Bajamich,ATA,21,61,,G. Pereira,MEI MC,27,64,,F. Coman,ME ATA,22,62,,G. Enrique,LD,21,62,,L. Esquivel,LE LE,19,65,,K. Andrade,ZAG LD,22,63,,L. Rinaldi,ATA,27,62,,L. Besozzi,PE PD,18,62,,F. Rivasseau,GOL,24,59,,
a,C. Núñez,PD,21,60,,N. Cainelli,MD,26,63,,M. Garay,MD LD LD,22,61,,B. Palazzo,ZAG,20,62,,M. Peano,GOL,22,65,,F. Russo,MD PD ME,20,61,,A. Lastra,GOL,20,61,,G. Ríos,MEI MC,22,62,,A. Sosa,ATA,20,59,,
a,E. Navarro,ZAG,19,60,,M. Llano,LD MD,21,63,,I. Maestro Puch,ATA,17,61,,L. Chávez,ATA MD,20,61,,F. Agüero,ZAG,26,62,,F. González,ME MC,20,61,,R. Lucero,LD,19,59,,D. Verón,MC,20,60,,J. Barinaga,MC MEI,21,59,,
a,R. Ferrario,GOL,21,60,,J. Medranda,ZAG,19,60,,N. Laméndola,MD MC,22,61,,F. Torres,ATA ME MD,22,61,,M. Gallegos,ATA,24,61,,J. Pignani,ZAG,19,60,,M. Panaro,PE PD,18,59,,M. Ruiz Díaz,LD MD,24,60,,,,,,,
a,A. Curruhinca,PE ME,21,58,,K. Suárez,LE,19,60,,L. Naranjo,MC,19,60,,E. Jara,VOL,21,60,,S. Jaurena,MC,21,61,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,F. Altamira,MD,19,60,,,,,,,T. Durso,GOL,22,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,T. Allende,ATA,22,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,T. Castro,MC MD,20,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,E. Quinteros,VOL,21,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

